== r36-s1  (**Ended:** budget reached.)
  t	alive	jointed	jnt inh	diverged	spd jnt	spd rig	work J/s	photo inh	absorpt	inherit	cols	x sd	wraps
  12000	1534	28	23	49	0.11357	0.08171	331	1408	125	124	100/100	7.71	1827
  12100	1528	30	27	49	0.11967	0.08529	369.96	1404	123	122	100/100	6.39	2120
  12200	1502	24	22	51	0.11234	0.08689	261.36	1382	119	118	100/100	6.66	1774
  12300	1491	25	21	51	0.10928	0.08569	257.63	1374	116	115	100/100	7.78	1718
  12400	1506	24	20	51	0.0972	0.08229	242.78	1392	113	112	100/100	6.71	1574
  12500	1505	19	17	52	0.09274	0.07726	260.71	1384	120	119	100/100	7.54	1441
  12600	1519	17	15	52	0.11528	0.07744	156.47	1390	128	127	100/100	7.60	1350
  12700	1523	19	15	52	0.0977	0.08051	206.61	1390	132	131	100/100	8.25	1440
  12800	1518	19	17	52	0.11235	0.08486	190.04	1383	134	132	100/100	9.97	1744
  12900	1519	18	16	52	0.09584	0.08705	194.55	1387	131	129	100/100	8.78	1778
  13000	1503	17	15	52	0.09885	0.0844	178.04	1369	133	131	100/100	7.85	1616
  13100	1491	16	13	52	0.10688	0.08374	194.64	1352	138	136	100/100	7.72	1423
  13200	1501	14	12	52	0.11596	0.08436	174.57	1364	135	133	100/100	7.67	1497
  13300	1511	15	12	52	0.11195	0.08621	218.67	1379	130	128	100/100	7.30	1592
  13400	1503	14	12	52	0.10665	0.08388	143.68	1374	127	125	100/100	7.41	1611
  13500	1504	13	11	52	0.09847	0.08186	178.01	1377	125	123	100/100	7.29	1614
  13600	1508	12	10	52	0.11219	0.08096	150.5	1385	121	118	100/100	7.76	1767
  13700	1514	14	10	52	0.11817	0.08221	235.55	1391	121	118	100/100	9.63	1837
  13800	1533	13	10	52	0.10433	0.08541	210.11	1409	122	119	100/100	10.34	1734
  13900	1517	14	11	52	0.10213	0.08529	215	1398	117	114	100/100	9.31	1872
  14000	1531	13	10	52	0.10593	0.08337	207.69	1416	112	109	100/100	8.28	1602
  14100	1564	13	10	52	0.09377	0.08381	188.16	1449	112	109	100/100	7.10	1653
  14200	1578	13	10	52	0.10272	0.08112	167.74	1463	112	109	100/100	8.32	1613
  14300	1576	13	10	52	0.09117	0.07777	161.64	1464	109	106	100/100	8.92	1701
  14400	1569	13	10	52	0.10441	0.08002	180.41	1463	103	100	100/100	7.86	1725
  14500	1578	12	10	53	0.10818	0.08617	172.19	1478	98	95	100/100	7.99	1901
  14600	1581	13	10	53	0.11633	0.08719	191.01	1482	96	93	100/100	7.84	1899
  14700	1580	12	10	53	0.11585	0.08583	143.25	1484	92	89	100/100	7.24	1793
  14800	1553	11	9	53	0.10535	0.08324	155.78	1459	90	87	100/100	7.74	1552
  14900	1526	9	8	53	0.10086	0.07874	141.43	1434	89	86	100/100	8.65	1574
  15000	1535	9	8	53	0.10041	0.08033	127.82	1444	88	86	100/100	7.38	1506
  15100	1543	9	8	53	0.10333	0.08613	111.17	1456	84	82	100/100	7.27	1597
  15200	1561	9	8	53	0.10271	0.08816	141.83	1479	78	76	100/100	6.61	1671
  15300	1570	9	8	53	0.10641	0.08896	129.65	1488	79	77	100/100	7.76	1727
  15400	1576	10	8	53	0.11254	0.085	139.1	1499	74	72	100/100	7.01	1772
  15500	1563	12	9	53	0.09571	0.0794	149	1489	71	69	100/100	7.07	1531
  15600	1571	12	10	53	0.10309	0.07969	201.96	1499	69	67	100/100	9.51	1590
  15700	1588	12	11	53	0.11288	0.08269	144.3	1518	67	65	100/100	7.78	1715
  15800	1592	11	10	53	0.11267	0.08291	136.58	1523	66	64	100/100	7.82	1775
  15900	1592	11	10	53	0.09538	0.0813	123.92	1519	70	68	100/100	8.18	1777
  16000	1582	10	9	53	0.10643	0.08109	120.32	1509	70	68	100/100	7.85	1634
  16100	1579	8	7	54	0.09958	0.08008	95.66	1511	65	64	100/100	7.07	1519
  16200	1584	8	7	54	0.10028	0.08217	97.7	1516	65	64	100/100	6.78	1588
  16300	1595	8	7	54	0.10312	0.08453	104.96	1524	68	67	100/100	8.08	1706
  16400	1587	9	8	54	0.1018	0.08676	108.11	1517	67	66	100/100	7.55	1845
  16500	1597	8	8	54	0.10817	0.08561	90.94	1528	66	65	100/100	8.80	1811
  16600	1571	7	7	54	0.09767	0.08381	89.49	1504	64	63	100/100	9.00	1849
  16700	1569	7	7	54	0.08451	0.07991	86.87	1505	61	60	100/100	8.80	1700
  16800	1570	7	7	54	0.09137	0.08304	73.32	1508	59	58	100/100	7.97	1617
  16900	1554	7	7	54	0.09745	0.08939	89.23	1496	55	54	100/100	7.88	1567
  17000	1570	7	7	54	0.08342	0.08735	94.33	1512	55	54	100/100	9.09	1604
  17100	1577	7	7	54	0.10005	0.0865	78.37	1519	54	53	100/100	7.90	1880
  17200	1555	7	7	54	0.08704	0.08172	82.29	1497	54	53	100/100	8.85	1778
  17300	1541	7	7	54	0.08876	0.07949	87.37	1477	61	60	100/100	7.30	1692
  17400	1546	8	7	54	0.09638	0.08219	134.97	1478	65	64	100/100	8.05	1779
  17500	1573	8	7	54	0.09997	0.08426	115.27	1505	66	65	100/100	7.87	1873
  17600	1586	8	7	54	0.1073	0.08406	103.51	1517	67	66	100/100	7.30	1716
  17700	1595	6	5	54	0.11404	0.08431	98.14	1527	66	65	100/100	6.54	1715
  17800	1614	6	5	54	0.12754	0.081	101.44	1545	67	66	100/100	6.77	1775
  17900	1625	6	5	54	0.11244	0.07998	74.94	1555	68	67	100/100	7.96	1798
  18000	1633	7	5	54	0.14022	0.08175	113.21	1555	76	73	100/100	8.20	1603
  18100	1622	7	5	54	0.1262	0.08235	79.8	1548	72	69	100/100	6.67	1435
  18200	1627	7	5	54	0.09053	0.08206	98.56	1552	73	70	100/100	7.19	1615
  18300	1620	6	5	54	0.10249	0.08302	75.8	1545	73	70	100/100	7.17	1857
  18400	1607	6	5	54	0.10344	0.08403	68.98	1531	74	71	100/100	7.31	1943
  18500	1608	6	5	54	0.09747	0.08463	70.55	1531	75	72	100/100	8.93	1776
  18600	1631	6	5	54	0.09134	0.08517	99.37	1555	75	72	100/100	8.28	1670
  18700	1630	7	5	54	0.09667	0.0855	70.02	1552	77	74	100/100	7.98	1681
  18800	1618	6	5	54	0.11024	0.08601	81.81	1540	77	74	100/100	7.45	1744
  18900	1611	6	5	54	0.10571	0.08355	68.69	1531	79	76	100/100	8.30	1791
  19000	1602	6	5	54	0.10006	0.08247	90.64	1519	81	78	100/100	7.87	1818
  19100	1585	6	4	54	0.10415	0.08106	93.49	1499	85	82	100/100	6.96	1793
  19200	1584	5	4	54	0.08351	0.08172	63.31	1493	90	87	100/100	8.27	1606
  19300	1594	5	4	54	0.0971	0.08727	66.67	1504	89	86	100/100	7.37	1707
  19400	1601	4	3	54	0.11033	0.08708	84.92	1514	86	83	100/100	7.60	1650
  19500	1583	3	3	54	0.10099	0.08475	48.5	1498	84	81	100/100	10.45	1777
  19600	1585	5	3	54	0.12437	0.08162	73.97	1500	84	81	100/100	7.95	1712
  19700	1576	4	3	54	0.09712	0.08055	95.8	1494	81	78	100/100	7.74	1644
  19800	1584	4	3	54	0.1266	0.08327	66.64	1502	81	78	100/100	8.21	1655
  19900	1597	5	4	54	0.13562	0.08494	112.81	1516	80	77	100/100	7.93	1826
  20000	1609	5	4	54	0.10409	0.08737	68.11	1528	79	76	100/100	8.48	1778
  20100	1628	5	4	54	0.10526	0.09013	117.8	1547	80	77	100/100	7.67	1859
  20200	1635	4	3	54	0.10655	0.08744	64.9	1554	80	77	100/100	7.98	1876
  20300	1639	4	3	54	0.11948	0.08369	93.09	1561	78	75	100/100	7.94	1898
  20400	1665	4	3	54	0.10993	0.08545	76.19	1586	79	76	100/100	8.08	1863
  20500	1668	6	5	54	0.10183	0.08701	109.93	1590	78	75	100/100	8.05	1677
  20600	1641	4	3	54	0.11805	0.08538	70.56	1563	78	75	100/100	7.64	1744
  20700	1641	4	3	54	0.09941	0.08495	104.5	1565	76	73	100/100	7.76	1585
  20800	1629	3	2	54	0.09374	0.08378	52.8	1550	79	76	100/100	7.56	1583
  20900	1625	5	2	54	0.08461	0.08463	122.18	1540	84	81	100/100	7.98	1695
  21000	1638	4	1	54	0.09423	0.08561	98.86	1544	94	91	100/100	8.29	1694
  21100	1632	3	0	54	0.14945	0.08487	71.22	1530	102	99	100/100	8.72	1707
  21200	1634	3	0	54	0.14097	0.0829	78.25	1531	103	100	100/100	8.54	1824
  21300	1628	3	0	54	0.1223	0.08176	97.59	1526	102	99	100/100	8.85	1662
  21400	1636	3	0	54	0.11478	0.0819	44.52	1533	103	100	100/100	7.79	1663
  21500	1641	3	0	54	0.10932	0.08063	103.57	1536	105	102	100/100	8.27	1661
  21600	1634	4	0	54	0.10065	0.08286	98.87	1519	115	113	100/100	8.52	1667
  21700	1628	4	0	54	0.11924	0.08685	111.36	1509	119	117	100/100	9.03	1793
  21800	1601	4	0	54	0.11913	0.08858	100.76	1479	122	120	100/100	8.70	1868
  21900	1611	4	0	54	0.14536	0.08619	140.5	1491	120	118	100/100	8.91	1956
  22000	1621	4	0	54	0.1198	0.08279	61.56	1505	116	114	100/100	9.46	1802
  22100	1627	4	0	54	0.10835	0.07987	142.46	1513	114	111	100/100	7.79	1781
  22200	1642	4	0	54	0.11961	0.07961	100.17	1528	114	111	100/100	7.65	1694
  22300	1642	4	0	54	0.11009	0.08559	120.81	1522	120	117	100/100	7.71	1958
  22400	1630	4	0	54	0.13968	0.08947	84.85	1514	116	113	100/100	7.78	1977
  22500	1617	4	0	54	0.11902	0.09131	133	1493	124	121	100/100	6.93	2004
  22600	1604	4	0	54	0.11958	0.08546	82.66	1482	122	119	100/100	8.02	1925
  22700	1608	3	0	55	0.10715	0.08357	86.21	1488	120	117	100/100	7.59	1899
  22800	1601	3	0	55	0.10994	0.08267	58.84	1482	119	116	100/100	7.51	1705
  22900	1589	6	3	55	0.09454	0.08391	178.28	1469	120	117	100/100	7.58	1573
  23000	1582	6	3	55	0.08554	0.08272	160.59	1468	114	111	100/100	7.41	1591
  23100	1592	6	3	55	0.08643	0.08167	193.82	1482	110	107	100/100	7.02	1746
  23200	1598	6	3	55	0.11371	0.0816	152.12	1493	105	102	100/100	6.33	1743
  23300	1613	6	3	55	0.12153	0.08216	146.54	1512	101	98	100/100	6.15	1715
  23400	1615	6	3	55	0.12306	0.08459	164.6	1516	99	96	100/100	6.53	1706
  23500	1609	7	3	55	0.1135	0.08402	198.66	1512	96	93	100/100	7.65	1503
  23600	1608	7	3	55	0.11178	0.0851	179.27	1513	94	91	100/100	7.88	2120
  23700	1601	7	3	55	0.11283	0.08453	154.76	1501	99	96	100/100	8.33	1751
  23800	1611	7	3	55	0.09483	0.08085	178.71	1509	101	98	100/100	7.93	1768
  23900	1617	7	3	55	0.08965	0.08091	180.69	1517	99	95	100/100	8.30	1716
  24000	1614	7	3	55	0.11213	0.08478	138.36	1517	96	92	100/100	7.29	1743
  24100	1600	7	3	55	0.11965	0.0902	185.06	1504	95	90	100/100	6.93	1659
  24200	1587	5	2	55	0.10618	0.09067	112.85	1482	104	99	100/100	7.29	1790
  24300	1566	7	4	55	0.10778	0.0867	154.38	1455	110	105	100/100	7.67	1705
  24400	1581	8	5	55	0.1152	0.08218	132.31	1475	105	100	100/100	9.10	1707
  24500	1591	8	5	55	0.11639	0.08348	226.27	1484	106	101	100/100	7.11	1861
  24600	1604	7	5	55	0.11167	0.0856	113.02	1494	110	106	100/100	6.79	1823
  24700	1594	6	4	55	0.07741	0.08676	169.16	1489	105	101	100/100	6.83	1773
  24800	1565	4	3	55	0.09233	0.08725	46.72	1455	110	106	100/100	6.77	1622
  24900	1551	4	3	55	0.10217	0.08495	110.68	1441	109	106	100/100	6.77	1590
  25000	1558	4	3	55	0.08612	0.07966	58.88	1450	107	104	100/100	7.80	1636
  25100	1564	4	3	55	0.09389	0.08118	125.15	1462	101	98	100/100	7.96	1731
  25200	1538	4	3	55	0.09087	0.08227	54.67	1429	107	104	100/100	7.64	1619
  25300	1561	4	3	55	0.10126	0.08437	98.49	1453	106	103	100/100	7.02	1706
  25400	1564	4	3	55	0.0957	0.0837	73.77	1456	106	103	100/100	7.60	1662
  25500	1583	5	3	55	0.09018	0.0861	111.09	1478	103	100	100/100	7.71	1766
  25600	1589	4	2	55	0.07545	0.08512	63.14	1490	97	95	100/100	9.29	1788
  25700	1586	3	2	55	0.11744	0.08407	72.22	1485	100	98	100/100	7.12	1796
  25800	1583	3	2	55	0.09828	0.08367	51.63	1484	98	97	100/100	6.23	1696
  25900	1588	3	2	55	0.093	0.08607	83.48	1488	99	98	100/100	7.37	1530
  26000	1594	3	2	55	0.09178	0.08684	50.15	1490	103	102	100/100	7.75	1481
  26100	1606	3	2	55	0.08426	0.08464	76.57	1501	104	103	100/100	7.76	1528
  26200	1600	3	2	55	0.10671	0.08173	61.48	1493	106	105	100/100	8.21	1517
  26300	1600	3	2	55	0.08228	0.08042	66.92	1497	102	101	100/100	7.69	1542
  26400	1585	3	2	55	0.12558	0.08405	64.56	1481	103	102	100/100	6.98	1482
  26500	1583	3	2	55	0.11167	0.08559	61.46	1480	102	101	100/100	7.41	1648
  26600	1588	3	2	55	0.11547	0.08707	70.74	1485	101	100	100/100	7.95	1602
  26700	1603	3	2	55	0.10425	0.08433	77.89	1500	100	99	100/100	9.09	1748
  26800	1603	3	2	55	0.10105	0.08289	53.67	1500	100	99	100/100	8.93	1777
  26900	1613	3	2	55	0.13675	0.08202	66.11	1509	102	101	100/100	7.53	1963
  27000	1614	3	2	55	0.11921	0.08275	59.66	1509	103	102	100/100	7.15	1686
  27100	1620	3	2	55	0.10187	0.08478	80.87	1512	105	104	100/100	8.97	1870
  27200	1625	8	7	55	0.09772	0.08582	128.29	1521	102	101	100/100	8.73	1871
  27300	1620	7	7	55	0.1051	0.08753	103.74	1519	99	98	100/100	7.07	1962
  27400	1617	6	5	55	0.10708	0.08649	105.08	1513	102	101	100/100	7.55	1972
  27500	1611	4	4	55	0.09062	0.08588	66.81	1503	106	105	100/100	8.19	1670
  27600	1608	4	4	55	0.11575	0.08756	77.61	1503	103	102	100/100	7.03	1870
  27700	1609	4	4	55	0.09733	0.08726	56.87	1502	105	104	100/100	7.20	1819
  27800	1615	4	4	55	0.10062	0.08558	67.65	1514	99	99	100/100	7.36	1649
  27900	1626	4	4	55	0.10777	0.0847	69.09	1525	98	98	100/100	6.83	1677
  28000	1625	4	4	55	0.08717	0.08467	66.8	1527	95	95	100/100	7.51	1712
  28100	1636	4	4	55	0.09731	0.0854	71.36	1537	96	96	100/100	7.78	1742
  28200	1631	7	6	55	0.11415	0.08582	142.74	1531	97	97	100/100	7.20	1945
  28300	1650	7	6	55	0.10759	0.08616	130.97	1551	96	96	100/100	6.56	1956
  28400	1663	6	5	55	0.12137	0.08467	88.48	1566	94	94	100/100	6.96	1823
  28500	1653	7	5	55	0.0913	0.08172	110.35	1552	98	98	100/100	6.64	1715
  28600	1631	6	5	55	0.09535	0.08009	91.82	1533	95	95	100/100	7.63	1520
  28700	1626	6	5	55	0.09068	0.08157	99.14	1528	93	93	100/100	8.92	1595
  28800	1634	6	5	55	0.1188	0.08593	84.2	1539	91	91	100/100	8.31	1671
  28900	1627	6	5	55	0.11518	0.09025	104.14	1537	86	86	100/100	8.26	1646
  29000	1634	7	5	55	0.10886	0.08772	112.59	1541	90	90	100/100	8.84	1693
  29100	1629	6	5	55	0.0956	0.08421	99.27	1536	91	91	100/100	8.11	2295
  29200	1623	8	5	55	0.09098	0.08181	123.36	1529	92	92	100/100	8.52	1769
  29300	1617	6	5	55	0.09999	0.08119	98.98	1520	95	95	100/100	8.85	1780
  29400	1615	5	4	55	0.1133	0.08257	78.23	1516	97	97	100/100	7.77	1764
  29500	1605	5	4	55	0.09757	0.08519	60.48	1512	90	90	100/100	8.26	1654
  29600	1607	4	3	55	0.09767	0.08725	57.39	1518	87	87	100/100	9.16	1645
  29700	1624	6	5	55	0.10421	0.08591	81.56	1536	85	85	100/100	10.17	1752
  29800	1645	6	5	55	0.10574	0.08481	127.63	1560	83	83	100/100	8.74	1875
  29900	1646	5	4	55	0.1154	0.08542	53.31	1558	86	86	100/100	6.88	1916
  30000	1624	5	4	55	0.08899	0.0837	70.94	1539	83	83	100/100	6.90	1870
== r36-s3  (**Ended:** budget reached.)
  t	alive	jointed	jnt inh	diverged	spd jnt	spd rig	work J/s	photo inh	absorpt	inherit	cols	x sd	wraps
  100	43	34	17	0	0.07232	0.04844	247.45	18	6	1	35/100	5.88	46
  200	72	63	49	0	0.08231	0.0773	657.2	52	4	1	50/100	8.33	100
  300	87	80	67	0	0.07898	0.0732	882.45	70	4	1	59/100	7.59	89
  400	107	95	82	0	0.07869	0.07325	973.53	93	3	1	64/100	7.34	97
  500	123	101	88	0	0.08272	0.07229	1074.53	108	4	2	67/100	6.27	205
  600	141	113	99	1	0.08361	0.07358	1012.38	123	7	5	80/100	6.17	182
  700	153	118	106	1	0.08825	0.07802	845.27	135	9	7	79/100	6.82	232
  800	181	142	130	2	0.08641	0.08055	1362.19	162	10	8	83/100	7.56	248
  900	190	143	133	2	0.08466	0.07618	1253.14	173	11	9	83/100	7.66	359
  1000	193	143	133	2	0.08373	0.07132	1283.04	176	11	9	81/100	8.19	361
  1100	201	150	140	2	0.08499	0.07247	2160.55	184	11	9	86/100	6.47	325
  1200	210	157	144	2	0.08742	0.0767	2232.97	189	15	13	78/100	6.50	366
  1300	214	156	142	2	0.08973	0.0765	1912.11	185	23	21	89/100	6.37	364
  1400	229	158	142	2	0.08731	0.07681	1750.33	193	30	28	90/100	8.29	421
  1500	258	155	139	2	0.08456	0.0774	1505.37	220	32	30	90/100	7.83	347
  1600	272	150	134	4	0.08382	0.07649	1244.92	235	31	29	92/100	6.12	396
  1700	286	148	132	4	0.08137	0.07573	1278.97	242	38	36	87/100	5.92	354
  1800	284	154	136	4	0.08473	0.07606	1298.84	231	47	45	89/100	6.41	403
  1900	298	154	138	4	0.08344	0.07903	1412.32	234	59	56	96/100	7.07	383
  2000	314	159	145	4	0.0845	0.08177	1477.87	253	56	53	97/100	7.90	399
  2100	334	163	148	4	0.08475	0.07777	1344.02	274	55	52	93/100	6.34	374
  2200	344	160	145	4	0.0846	0.08052	1225.2	283	56	53	96/100	6.15	453
  2300	374	166	151	4	0.08573	0.07811	1080.04	312	57	54	99/100	6.22	500
  2400	380	158	141	4	0.08381	0.07999	1278.06	319	56	53	95/100	7.06	470
  2500	400	157	140	4	0.08515	0.08025	1246.11	332	63	60	98/100	6.90	484
  2600	415	160	142	4	0.08704	0.07951	1387.84	340	70	67	98/100	6.94	455
  2700	425	161	141	4	0.08897	0.07821	1599.51	354	66	63	96/100	6.74	551
  2800	447	162	146	4	0.08319	0.07459	1467.88	380	62	59	96/100	6.03	592
  2900	466	172	154	4	0.08192	0.07544	1507.67	401	60	57	98/100	6.08	588
  3000	492	163	146	4	0.0864	0.07833	1460.3	427	60	57	100/100	6.67	595
  3100	493	155	137	6	0.08673	0.07941	1340.94	427	61	58	100/100	8.01	597
  3200	513	154	137	6	0.08757	0.08038	1311.73	444	63	61	98/100	7.40	585
  3300	522	144	129	7	0.08813	0.08063	1241.86	455	61	59	100/100	6.87	618
  3400	532	146	129	7	0.08143	0.07704	1313.79	467	59	57	99/100	6.42	634
  3500	550	150	134	7	0.07706	0.07707	1459.18	489	56	54	99/100	7.33	646
  3600	557	148	131	7	0.08541	0.0758	1522.97	493	59	57	97/100	7.39	574
  3700	553	147	130	7	0.08731	0.07908	1390.82	486	62	60	98/100	7.64	607
  3800	573	137	118	7	0.08436	0.07935	1325.91	504	64	62	99/100	7.53	589
  3900	603	132	114	7	0.09026	0.07931	1123.11	536	63	61	100/100	7.02	653
  4000	628	128	111	7	0.08614	0.08199	1284.44	566	59	57	100/100	8.39	815
  4100	630	127	108	7	0.08361	0.07878	1143.62	558	69	67	100/100	7.15	766
  4200	645	135	118	7	0.08467	0.07656	1409.51	565	77	75	100/100	7.02	806
  4300	664	134	118	7	0.08489	0.08043	1293.18	577	83	81	100/100	7.14	770
  4400	695	129	113	7	0.08858	0.07972	1199.98	608	84	82	100/100	7.39	811
  4500	711	123	107	7	0.08868	0.07959	1213.89	627	81	79	100/100	7.32	804
  4600	744	120	105	7	0.09206	0.07715	1159.32	663	79	77	100/100	7.13	1391
  4700	762	122	107	7	0.08745	0.07948	1526.95	683	77	75	99/100	7.10	1015
  4800	761	119	99	8	0.08787	0.07766	1300.28	679	80	79	100/100	7.18	1085
  4900	780	122	106	8	0.08819	0.07969	1521.42	696	82	81	100/100	8.98	860
  5000	787	130	113	8	0.09228	0.07959	1423.3	705	80	79	100/100	10.24	905
  5100	789	134	117	8	0.08737	0.07596	1541.66	702	85	84	100/100	6.86	808
  5200	787	133	117	8	0.08423	0.07557	1467.71	696	89	87	98/100	7.20	943
  5300	789	126	113	8	0.08418	0.07685	1324.48	706	81	79	99/100	7.66	786
  5400	794	120	107	8	0.08784	0.07949	1254.58	710	82	80	100/100	7.03	885
  5500	813	122	108	8	0.09134	0.082	1290.72	727	84	82	99/100	6.30	1747
  5600	804	113	100	8	0.09367	0.08338	1261.76	726	76	74	100/100	6.97	860
  5700	835	104	90	8	0.09429	0.08327	848.7	757	76	74	100/100	8.05	826
  5800	848	98	84	8	0.08743	0.07906	941.7	776	70	68	100/100	9.99	809
  5900	847	95	82	8	0.0821	0.07447	787.36	780	65	63	100/100	8.09	783
  6000	861	95	81	8	0.08654	0.07667	1149.1	799	60	58	100/100	7.53	798
  6100	881	90	75	8	0.08955	0.08482	754.28	821	58	55	100/100	6.37	1006
  6200	856	79	65	10	0.0942	0.08422	769.97	796	58	55	100/100	7.48	990
  6300	869	78	62	10	0.09454	0.08043	671.83	805	62	59	100/100	7.94	1205
  6400	879	71	58	10	0.08753	0.07643	727.56	813	63	60	100/100	7.72	1912
  6500	883	80	67	10	0.08724	0.07602	882.88	821	61	57	100/100	7.72	999
  6600	887	79	66	10	0.08821	0.07985	1408.47	828	58	54	100/100	7.33	1072
  6700	889	70	58	10	0.09212	0.08314	891.45	831	56	52	99/100	7.53	1161
  6800	910	79	66	10	0.09233	0.08285	947.59	845	64	60	99/100	7.66	996
  6900	925	76	64	10	0.08808	0.07962	833.62	846	78	75	100/100	7.21	967
  7000	931	74	62	10	0.08888	0.08142	714.82	854	76	73	100/100	7.43	1087
  7100	940	74	63	10	0.09011	0.0811	797.8	868	71	68	100/100	7.60	1059
  7200	929	77	65	10	0.09444	0.07904	846.25	860	68	65	100/100	7.28	1031
  7300	937	68	55	10	0.09307	0.08065	812.87	870	66	63	99/100	7.49	953
  7400	948	72	59	10	0.09262	0.07948	831.53	882	65	62	100/100	9.29	934
  7500	958	69	55	10	0.09254	0.07721	703.53	903	55	53	100/100	9.20	1033
  7600	974	77	66	10	0.0915	0.0768	932.95	907	67	65	100/100	8.77	1049
  7700	976	74	66	10	0.09356	0.07887	692.64	910	66	64	100/100	6.93	1081
  7800	999	70	62	10	0.09561	0.07922	883.92	938	61	59	100/100	6.59	1005
  7900	998	63	54	11	0.09476	0.08216	552.48	948	50	48	100/100	6.32	1452
  8000	1019	52	42	11	0.09477	0.08091	624.78	977	42	40	100/100	6.45	1464
  8100	986	47	39	11	0.08491	0.07723	451.86	948	38	36	100/100	7.62	951
  8200	1005	45	37	12	0.08794	0.0748	504.8	970	35	34	100/100	8.33	1022
  8300	993	46	38	12	0.08315	0.07561	500.71	947	46	44	100/100	7.78	1035
  8400	974	44	35	12	0.08538	0.07829	385.63	927	47	45	100/100	6.48	1186
  8500	1024	46	38	13	0.08967	0.08051	468.11	970	53	51	100/100	6.79	1261
  8600	1022	44	37	13	0.09003	0.0814	402.02	970	52	50	100/100	7.68	992
  8700	1012	46	40	13	0.09042	0.08383	436.31	952	60	58	100/100	7.51	1057
  8800	1016	41	34	13	0.09061	0.08168	318.52	951	65	63	100/100	7.61	1051
  8900	1043	44	37	13	0.08237	0.07836	507.13	979	64	62	100/100	7.36	1032
  9000	1057	41	34	13	0.09078	0.07945	325.13	998	59	57	99/100	9.44	1139
  9100	1080	39	31	13	0.08659	0.08075	358.36	1016	64	62	100/100	8.21	1100
  9200	1067	41	31	13	0.09611	0.08203	525.94	999	68	65	100/100	8.09	1216
  9300	1044	43	34	13	0.09221	0.08014	660.17	972	72	69	100/100	8.18	1104
  9400	1037	41	33	13	0.08958	0.07941	674.93	959	77	73	100/100	8.32	1118
  9500	1066	39	31	13	0.09222	0.07849	432.76	994	72	68	100/100	6.88	1121
  9600	1069	32	25	13	0.09038	0.08014	422.74	1004	65	61	100/100	6.23	1218
  9700	1046	33	25	13	0.09402	0.08298	328.22	981	65	61	100/100	6.39	1583
  9800	1057	35	28	13	0.08848	0.08123	347.86	996	61	57	100/100	6.70	1214
  9900	1087	33	28	13	0.08894	0.07898	276.11	1026	60	56	100/100	6.92	1436
  10000	1082	29	24	13	0.09208	0.07876	346.69	1023	59	55	100/100	6.98	1250
  10100	1089	27	22	13	0.09105	0.08001	252.14	1028	61	57	100/100	7.69	1173
  10200	1057	27	21	13	0.09859	0.08328	303.07	996	61	57	100/100	7.77	1222
  10300	1029	25	20	13	0.09456	0.08281	250.66	960	69	65	100/100	8.12	1224
  10400	1055	33	28	13	0.09311	0.08141	291.47	986	69	65	100/100	7.89	1107
  10500	1076	37	31	13	0.09066	0.07974	696.33	1002	74	70	100/100	7.54	1018
  10600	1106	34	28	13	0.08251	0.07338	636.24	1031	75	71	100/100	7.83	931
  10700	1116	31	26	13	0.09165	0.07467	661.39	1044	71	67	100/100	8.85	1066
  10800	1119	26	22	13	0.09772	0.07949	550.8	1049	70	66	100/100	7.24	1061
  10900	1091	26	20	14	0.09657	0.08407	566.96	1017	74	70	100/100	7.58	1131
  11000	1097	27	20	14	0.10068	0.0843	533.25	1018	79	75	100/100	7.88	1357
  11100	1095	27	20	14	0.09539	0.08105	521.69	1014	81	77	100/100	6.45	1025
  11200	1094	30	21	14	0.09472	0.08156	537.35	1013	81	77	100/100	7.68	1039
  11300	1104	34	26	14	0.09561	0.08055	429.81	1014	89	85	100/100	7.51	1204
  11400	1107	28	22	14	0.08891	0.07764	504.76	1015	92	88	100/100	7.31	1141
  11500	1115	28	20	14	0.09664	0.0826	372.98	1024	91	87	100/100	8.29	1386
  11600	1138	23	18	14	0.0922	0.08267	365.25	1043	95	91	100/100	8.01	1223
  11700	1150	24	19	14	0.10299	0.08144	351.23	1058	92	88	100/100	8.63	1180
  11800	1149	20	16	14	0.09046	0.07872	419.07	1062	87	83	100/100	8.23	1167
  11900	1154	21	17	14	0.09048	0.07663	311.13	1068	86	82	100/100	7.87	1178
  12000	1132	21	16	14	0.09643	0.07716	430.13	1045	86	82	100/100	7.93	1306
  12100	1141	20	16	14	0.09764	0.08084	510.65	1051	89	85	100/100	7.42	2007
  12200	1161	19	13	14	0.09332	0.08195	361.6	1074	86	82	100/100	7.47	1286
  12300	1169	19	11	14	0.08882	0.07866	486.89	1076	92	88	100/100	7.76	1269
  12400	1177	17	11	14	0.08755	0.07712	296.17	1082	94	90	100/100	8.44	1228
  12500	1176	17	11	14	0.08375	0.07777	346.07	1076	100	96	100/100	8.89	1181
  12600	1167	15	10	14	0.09889	0.08229	227.93	1070	97	93	100/100	7.67	1182
  12700	1162	16	9	14	0.10248	0.08537	258.5	1059	103	99	100/100	7.38	1146
  12800	1161	16	10	14	0.08935	0.08571	243.29	1051	110	106	100/100	7.83	1289
  12900	1164	22	16	14	0.09054	0.08291	208.32	1051	113	109	100/100	8.24	1359
  13000	1174	18	12	14	0.08959	0.07798	256.16	1052	122	118	100/100	9.02	1274
  13100	1174	15	10	14	0.0771	0.0755	157.63	1056	118	114	100/100	7.99	1273
