## Radial histogram, the fresh seeds (eight shells of EQUAL AREA, so a uniform disc reads 0.125 in every one; r/R bounds sqrt(k/8))
arm	t	n	shell0	shell1	shell2	shell3	shell4	shell5	shell6	shell7	f0	f1	f2	f3	f4	f5	f6	f7	mean r	sd r	median r	mean R-r (m to glass)	n within 0.5 m of glass	share within 0.5 m	n within 1 m	share within 1 m	mean depth	sd depth
r37b-s6	5000	1653	221	215	192	206	200	242	234	143	0.134	0.130	0.116	0.125	0.121	0.146	0.142	0.087	3.707	1.322	3.972	1.935	236	0.143	529	0.320	-13.52	10.63
r37b-s6	15000	1617	180	252	209	212	218	199	190	157	0.111	0.156	0.129	0.131	0.135	0.123	0.118	0.097	3.700	1.252	3.883	1.942	227	0.140	458	0.283	-23.68	15.51
r37b-s6	30000	1810	298	272	239	265	240	188	173	135	0.165	0.150	0.132	0.146	0.133	0.104	0.096	0.075	3.481	1.328	3.638	2.161	190	0.105	423	0.234	-21.98	13.70
r37b-s7	5000	1091	104	154	144	152	172	144	134	87	0.095	0.141	0.132	0.139	0.158	0.132	0.123	0.080	3.758	1.190	3.958	1.884	143	0.131	305	0.280	-16.05	10.22
r37b-s7	15000	1438	177	200	250	178	185	160	156	132	0.123	0.139	0.174	0.124	0.129	0.111	0.108	0.092	3.620	1.272	3.700	2.022	190	0.132	383	0.266	-18.21	11.59
r37b-s7	30000	1585	228	205	200	209	205	240	179	119	0.144	0.129	0.126	0.132	0.129	0.151	0.113	0.075	3.625	1.321	3.850	2.017	176	0.111	445	0.281	-19.64	12.24
r37b-s8	5000	1469	136	210	208	215	193	187	201	119	0.093	0.143	0.142	0.146	0.131	0.127	0.137	0.081	3.761	1.193	3.912	1.881	192	0.131	428	0.291	-18.69	13.01
r37b-s8	15000	1714	229	228	228	241	220	212	208	148	0.134	0.133	0.133	0.141	0.128	0.124	0.121	0.086	3.653	1.310	3.855	1.989	215	0.125	477	0.278	-20.97	13.49
r37b-s8	30000	1831	184	235	233	247	263	255	250	164	0.100	0.128	0.127	0.135	0.144	0.139	0.137	0.090	3.793	1.242	4.025	1.849	249	0.136	574	0.313	-20.62	12.59
r37b-s9	5000	1349	173	183	180	186	188	176	163	100	0.128	0.136	0.133	0.138	0.139	0.130	0.121	0.074	3.661	1.259	3.864	1.981	150	0.111	363	0.269	-16.53	10.52
r37b-s9	15000	1745	176	220	250	220	268	241	235	135	0.101	0.126	0.143	0.126	0.154	0.138	0.135	0.077	3.771	1.217	4.008	1.871	221	0.127	514	0.295	-20.89	11.75
