## M2  cols and spreads from the positions reader (tank: the columns whose centres are inside the circle; 100 live columns), beside the run report's own cols
seed	t	reader n	reader cols	reader x sd	reader z sd	r37 cols	r37 x sd	r36 cols	r36 x sd
1	5000	987	100/100	2.74	2.66	87/100	2.89	99/100	6.10
1	15000	1745	100/100	2.79	2.94	63/100	3.82	98/100	6.73
1	30000	1674	100/100	2.69	2.76	77/100	3.89	100/100	7.28
2	5000	1425	100/100	2.84	2.74	79/100	2.97	100/100	7.49
2	15000	1713	100/100	2.84	2.77	102/100	3.35	100/100	7.38
2	30000	1735	100/100	2.78	2.86	88/100	3.25	100/100	6.90
3	5000	1114	100/100	2.66	2.97	87/100	3.66	100/100	10.24
3	15000	1764	100/100	2.79	2.66	104/100	3.18	100/100	9.81
3	30000	1840	100/100	2.89	2.82	85/100	3.53	100/100	7.28
4	5000	1005	100/100	2.80	2.71	79/100	3.85	100/100	8.21
4	15000	1818	100/100	2.75	2.79	94/100	3.54	100/100	9.35
4	30000	1782	100/100	2.74	2.78	70/100	3.93	100/100	7.28
5	5000	771	99/100	2.85	2.77	84/100	3.19	98/100	6.78
5	15000	1714	100/100	2.90	2.68	92/100	3.79	100/100	6.93
5	29200	1764	100/100	2.86	2.79	88/100	2.61	100/100	8.72

## M3  nearest-neighbour median, raw (same time, whatever the abundance)
seed	t	r37b n	r37b nn h	r37b nn 3d	r36 n	r36 nn h	r36 nn 3d	ratio nn h	ratio nn 3d	n ratio	r37 nn 3d	r37b/r37 nn 3d
1	5000	987	0.15	0.84	307	0.27	1.14	0.556	0.737	3.215	0.52	1.615
1	30000	1674	~0.11	~0.70	1154	0.13	0.66	0.846	1.061	1.451	0.41	1.707
2	5000	1425	~0.12	~0.72	1100	0.14	0.70	0.857	1.029	1.295	~0.31	2.323
2	30000	1735	~0.11	~0.74	1623	~0.11	~0.57	1.000	1.298	1.069	~0.34	2.176
3	5000	1114	0.14	0.79	786	0.17	0.82	0.824	0.963	1.417	0.84	0.940
3	30000	1840	~0.11	~0.72	1342	~0.12	~0.63	0.917	1.143	1.371	0.27	2.667
4	5000	1005	0.15	0.85	1352	~0.13	~0.73	1.154	1.164	0.743	~0.22	3.864
4	30000	1782	~0.11	~0.74	1329	~0.13	~0.70	0.846	1.057	1.341	~0.18	4.111
5	5000	771	0.17	0.78	577	0.18	0.97	0.944	0.804	1.336	0.65	1.200
5	29200	1764	~0.11	~0.72	1650	~0.11	~0.59	1.000	1.220	1.069	~0.23	3.130

## M3  nearest-neighbour median at MATCHED abundance: round 37b anchored at the named time, and the round 36 sample of the same seed nearest in time whose n is within 10% of round 37b's n at that time
seed	anchor t	r37b t	r37b n	r37b nn h	r37b nn 3d	r36 t	r36 n	r36 nn h	r36 nn 3d	n gap	ratio nn h	ratio nn 3d	in 0.8-1.25	r37b depth	r37b depth sd	r36 depth	r36 depth sd
1	5000	5000	987	0.15	0.84	23900	895	0.16	0.76	-0.093	0.938	1.105	yes	-16.85	11.33	-17.25	11.05
1	15000	15000	1745	~0.11	~0.69	no round 36 sample within 10% of n=1745
1	30000	30000	1674	~0.11	~0.70	no round 36 sample within 10% of n=1674
2	5000	5000	1425	~0.12	~0.72	6400	1288	~0.12	~0.62	-0.096	1.000	1.161	yes	-16.56	9.51	-18.06	10.78
2	15000	15000	1713	~0.11	~0.72	15100	1543	~0.11	~0.57	-0.099	1.000	1.263	no	-21.94	11.51	-18.64	12.15
2	30000	30000	1735	~0.11	~0.74	30000	1623	~0.11	~0.57	-0.065	1.000	1.298	no	-21.84	13.35	-20.22	13.45
3	5000	5000	1114	0.14	0.79	8000	1019	0.14	0.75	-0.085	1.000	1.053	yes	-14.97	11.26	-19.40	11.66
3	15000	15000	1764	~0.11	~0.77	no round 36 sample within 10% of n=1764
3	30000	30000	1840	~0.11	~0.72	no round 36 sample within 10% of n=1840
4	5000	5000	1005	0.15	0.85	3800	1098	0.14	0.78	0.093	1.071	1.090	yes	-16.26	9.93	-22.19	14.96
4	15000	15000	1818	~0.11	~0.71	no round 36 sample within 10% of n=1818
4	30000	30000	1782	~0.11	~0.74	no round 36 sample within 10% of n=1782
5	5000	5000	771	0.17	0.78	6800	698	0.16	0.79	-0.095	1.062	0.987	yes	-11.91	7.98	-16.47	11.48
5	15000	15000	1714	~0.11	~0.75	17100	1543	~0.11	~0.57	-0.100	1.000	1.316	no	-19.18	12.31	-19.57	14.07
5	30000	29200	1764	~0.11	~0.72	30000	1650	~0.11	~0.59	-0.065	1.000	1.220	yes	-20.87	12.92	-21.87	14.13

anchors that found a match	9 of 15	in 0.8-1.25	6
