arm r37b-s5 | run 2026-09-13-011711-2430e660 | tank r=5.64 m (100 m2), 60 m deep, 4 ring(s)
columns of 1 m: 100 | lineage.jsonl: 11573 births, 63 clades

        t      n      cols    x sd    z sd     nn h    nn 3d   leaf   leaf y   stom   stom y   mixo   mixo y    jnt    jnt y  plain  plain y  clade 1m  jointed  joint y  rigid y
    100.0     41    33/100    2.56    2.24     0.74     2.13     33   -15.93      5   -21.85      0        -      3   -20.11      0        -         2       27   -17.48   -15.97
    200.0     56    41/100    2.58    2.23     0.55     1.58     53    -9.01      2   -20.95      0        -      1    -0.62      0        -         0       36    -9.17    -9.48
    300.0     73    50/100    2.56    2.44     0.49     1.60     72    -8.60      0        -      0        -      1    -0.94      0        -         4       47    -8.56    -8.38
    400.0     87    56/100    2.62    2.68     0.52     1.40     86    -8.04      0        -      0        -      1    -1.91      0        -         9       52    -7.79    -8.24
    500.0    111    60/100    2.36    2.41     0.40     1.34    110    -9.33      0        -      0        -      1    -2.10      0        -        12       58    -9.05    -9.49
    600.0    144    73/100    2.71    2.81     0.35     1.55    143   -12.87      0        -      0        -      1    -1.55      0        -        11       77   -12.26   -13.40
    700.0    143    66/100    2.73    3.14     0.32     1.27    142   -13.41      0        -      0        -      1    -2.27      0        -        16       83   -13.22   -13.48
    800.0    143    65/100    2.62    2.78     0.31     1.38    142   -14.27      0        -      0        -      1    -4.79      0        -        24       85   -13.55   -15.16
    900.0    161    75/100    2.78    2.70     0.33     1.24    160   -13.26      0        -      0        -      1    -3.59      0        -        26       86   -11.90   -14.69
   1000.0    172    72/100    2.94    2.54     0.31     1.25    171   -13.97      0        -      0        -      1    -3.48      0        -        13       95   -12.79   -15.29
   1100.0    178    73/100    2.92    2.67     0.29     1.19    177   -14.76      0        -      0        -      1    -4.73      0        -        28       99   -14.08   -15.48
   1200.0    180    76/100    2.61    2.48     0.31     1.23    179   -14.83      0        -      0        -      1    -5.38      0        -        31      104   -14.40   -15.30
   1300.0    189    75/100    2.40    2.75     0.30     1.16    188   -14.33      0        -      0        -      1    -4.43      0        -        30      111   -13.89   -14.83
   1400.0    192    77/100    2.54    2.78     0.29     1.28    190   -14.20      1   -23.61      0        -      1    -5.97      0        -        35      110   -13.53   -15.13
   1500.0    200    80/100    2.49    2.58     0.29     1.21    198   -13.95      1   -26.53      0        -      1    -7.15      0        -        38      115   -13.28   -14.93
   1600.0    207    81/100    2.67    2.35     0.31     1.19    205   -14.07      1   -28.01      0        -      1   -10.73      0        -        44      107   -13.03   -15.29
   1700.0    223    84/100    2.45    2.60     0.31     1.14    219   -14.52      3   -25.68      0        -      1    -9.92      0        -        50      100   -12.51   -16.40
   1800.0    231    86/100    2.59    2.66     0.29     1.18    227   -14.38      3   -32.26      0        -      1    -5.30      0        -        61       95   -12.20   -16.22
   1900.0    242    84/100    2.71    2.54     0.27     1.16    236   -14.65      5   -34.45      0        -      1    -8.72      0        -        71       95   -12.12   -16.91
   2000.0    245    81/100    2.63    2.62     0.28     1.09    238   -14.79      7   -31.61      0        -      0        -      0        -        74      107   -13.87   -16.35
   2100.0    243    83/100    2.74    2.65     0.27     1.14    230   -14.44     13   -30.54      0        -      0        -      0        -        74       96   -12.76   -16.96
   2200.0    236    81/100    2.88    2.54     0.27     1.28    212   -12.99     24   -30.12      0        -      0        -      0        -        57       89   -11.09   -16.93
   2300.0    248    85/100    3.02    2.52     0.27     1.13    217   -12.63     31   -29.75      0        -      0        -      0        -        73       90   -10.49   -17.21
   2400.0    253    85/100    2.91    2.73     0.25     1.13    221   -11.63     32   -29.31      0        -      0        -      0        -        73       96    -9.71   -16.41
