## Radial histogram, r37b (eight shells of EQUAL AREA, so a uniform disc reads 0.125 in every one; r/R bounds sqrt(k/8))
arm	t	n	shell0	shell1	shell2	shell3	shell4	shell5	shell6	shell7	f0	f1	f2	f3	f4	f5	f6	f7	mean r	sd r	median r	mean R-r (m to glass)	n within 0.5 m of glass	share within 0.5 m	n within 1 m	share within 1 m	mean depth	sd depth
r37b-s1	5000	987	135	139	133	134	121	133	124	68	0.137	0.141	0.135	0.136	0.123	0.135	0.126	0.069	3.616	1.299	3.814	2.026	110	0.111	267	0.271	-16.85	11.33
r37b-s1	15000	1745	171	206	214	232	259	230	226	207	0.098	0.118	0.123	0.133	0.148	0.132	0.130	0.119	3.859	1.231	4.079	1.783	284	0.163	568	0.326	-19.80	11.19
r37b-s1	30000	1674	227	256	218	212	201	184	197	179	0.136	0.153	0.130	0.127	0.120	0.110	0.118	0.107	3.635	1.326	3.798	2.007	250	0.149	485	0.290	-18.73	12.28
r37b-s2	5000	1425	166	184	212	181	155	203	192	132	0.116	0.129	0.149	0.127	0.109	0.142	0.135	0.093	3.732	1.272	3.899	1.910	204	0.143	446	0.313	-16.56	9.51
r37b-s2	15000	1713	188	233	202	235	225	249	214	167	0.110	0.136	0.118	0.137	0.131	0.145	0.125	0.097	3.766	1.257	3.989	1.876	247	0.144	523	0.305	-21.94	11.51
r37b-s2	30000	1735	190	222	207	243	240	218	224	191	0.110	0.128	0.119	0.140	0.138	0.126	0.129	0.110	3.788	1.265	4.007	1.854	278	0.160	540	0.311	-21.84	13.35
r37b-s3	5000	1114	118	140	141	164	145	139	146	121	0.106	0.126	0.127	0.147	0.130	0.125	0.131	0.109	3.793	1.246	3.979	1.849	171	0.154	356	0.320	-14.97	11.26
r37b-s3	15000	1764	248	237	240	228	216	249	198	148	0.141	0.134	0.136	0.129	0.122	0.141	0.112	0.084	3.632	1.303	3.842	2.010	218	0.124	485	0.275	-21.73	14.32
r37b-s3	30000	1840	175	205	238	243	282	266	234	197	0.095	0.111	0.129	0.132	0.153	0.145	0.127	0.107	3.853	1.225	4.106	1.789	275	0.149	583	0.317	-20.72	12.09
r37b-s4	5000	1005	146	118	122	134	145	118	127	95	0.145	0.117	0.121	0.133	0.144	0.117	0.126	0.095	3.679	1.310	3.907	1.963	148	0.147	282	0.281	-16.26	9.93
r37b-s4	15000	1818	227	227	238	273	231	223	232	167	0.125	0.125	0.131	0.150	0.127	0.123	0.128	0.092	3.705	1.274	3.885	1.937	241	0.133	516	0.284	-21.44	13.19
r37b-s4	30000	1782	215	255	244	232	208	231	239	158	0.121	0.143	0.137	0.130	0.117	0.130	0.134	0.089	3.694	1.274	3.841	1.948	232	0.130	531	0.298	-23.34	14.35
