## Where the detritus and the corpses are
seed	t	det patch sd	patch max share	corpses	det deep	detritus J	J/m3 here	% on floor	refuge J	mat here	shade %	depth m	depth sd
1	5000	0.1876	0.278	414	6.4776	16018.5	0.419	1.1%	182.3	0.024	38.4%	-16.9	11.33
1	15000	0.0025	0.282	1146	1.4186	16495.5	3.0488	0.2%	40.4	0.022	21.7%	-19.8	11.19
1	30000	0.0355	0.289	984	1.4197	14581	2.3778	0.3%	39.3	0.025	17.9%	-18.7	12.29
2	5000	0.0025	0.277	687	5.2797	77320.2	16.8541	0.2%	136.7	0.025	32.6%	-16.6	9.52
2	15000	0.0006	0.277	2344	0.4839	4849.9	0.8976	0.3%	13.5	0.016	18.1%	-21.9	11.51
2	30000	0.0142	0.264	1122	1.2751	14534.4	2.2667	0.3%	38.3	0.021	17.6%	-21.8	13.36
3	5000	0.0273	0.274	984	1.1876	7383.5	1.1376	0.4%	30.8	0.023	35.3%	-15	11.26
3	15000	0.059	0.276	1091	1.113	15099	2.7443	0.2%	36	0.022	15.5%	-21.7	14.33
3	30000	0.0021	0.297	814	1.5587	11988.3	1.7886	0.4%	46.6	0.023	13.7%	-20.7	12.1
4	5000	0.4459	0.263	1349	8.5831	103167.8	25.4907	0.2%	180	0.024	44.6%	-16.3	9.94
4	15000	0.0158	0.281	962	0.717	7375.9	1.2131	0.3%	23.1	0.023	19.9%	-21.4	13.19
4	30000	0.0193	0.267	1136	0.9729	12920.3	2.4809	0.2%	23	0.021	16.5%	-23.3	14.36
5	5000	0.0037	0.27	704	2.5929	23333.7	5.232	0.3%	81.4	0.023	32.7%	-11.9	7.99
5	15000	0.0041	0.268	1496	0.7526	10581.8	2.7111	0.2%	18.1	0.024	17.3%	-19.2	12.31
5	29200	0.1016	0.272	1114	1.7309	12428.1	2.2259	0.4%	46.1	0.024	13.6%	-20.9	12.92

## The same, run-wide: mean and maximum over every sample
arm	mean det patch sd	max det patch sd	at t	mean patch max share	max patch max share	mean corpses	max corpses	at t	mean det deep	max det deep
r37b-s1	0.0496	1.1516	5100	0.286	0.442	1039	2216	8000	1.705	6.511
r37b-s2	0.0577	1.2108	9500	0.284	0.397	1087	2350	15200	3.221	19.366
r37b-s3	0.0340	0.2617	2700	0.285	0.448	838	1156	5900	1.340	2.216
r37b-s4	0.0473	1.0444	7000	0.282	0.463	1034	2378	10400	1.835	9.405
r37b-s5	0.0435	0.2242	3600	0.281	0.405	966	1629	14000	1.730	4.043

## Control: round 37 at the same times
seed	t	det patch sd	patch max share	corpses	det deep
1	5000	0.578	0.582	346	1.9717
1	15000	0.0742	0.96	13	2.9546
1	30000	0.0866	0.877	4613	2.5254
2	5000	1.3093	0.893	304	6.9468
2	15000	0.8351	0.811	135	2.6149
2	30000	0.1593	0.717	3279	0.8514
3	5000	0.3119	0.715	2203	1.8884
3	15000	0.1153	0.453	892	0.9376
3	30000	0.2967	0.718	3541	1.3253
4	5000	0.8206	0.945	172	3.1518
4	15000	0.079	0.629	821	0.6632
4	30000	0.205	0.98	2960	1.969
5	5000	0.2696	0.716	3186	1.0058
5	15000	0.4891	0.829	5178	1.8718
5	30000	0.2523	0.558	200	2.5783
