arm r37b-s3 | run 2026-09-13-001451-2430e660 | tank r=5.64 m (100 m2), 60 m deep, 4 ring(s)
columns of 1 m: 100 | lineage.jsonl: 10442 births, 83 clades

        t      n      cols    x sd    z sd     nn h    nn 3d   leaf   leaf y   stom   stom y   mixo   mixo y    jnt    jnt y  plain  plain y  clade 1m  jointed  joint y  rigid y
    100.0     43    34/100    2.62    2.57     0.65     1.98     35    -9.44      6   -11.79      0        -      2   -14.29      0        -         0       33    -9.06   -13.05
    200.0     67    47/100    2.30    2.35     0.54     1.56     63    -6.35      2    -7.23      0        -      2    -7.40      0        -         2       53    -5.50    -9.83
    300.0     89    55/100    2.32    2.51     0.41     1.38     85    -7.56      2    -9.19      0        -      2    -8.67      0        -         6       73    -7.11    -9.95
    400.0    101    61/100    3.04    2.49     0.39     1.51     97    -7.61      2    -9.17      0        -      2    -8.19      0        -         0       86    -7.45    -8.78
    500.0    114    66/100    2.88    2.51     0.39     1.34    110    -8.92      2   -12.05      0        -      2    -9.29      0        -         8       94    -8.96    -9.12
    600.0    133    68/100    2.88    2.10     0.37     1.33    127    -9.33      4   -16.56      0        -      2    -7.07      0        -        13      107    -9.51    -9.53
    700.0    165    70/100    3.16    2.63     0.28     1.28    157   -10.97      6   -19.00      0        -      2    -4.21      0        -        12      136   -11.27   -10.77
    800.0    169    65/100    2.93    2.61     0.25     1.24    162   -11.26      5   -18.30      0        -      2    -3.33      0        -         9      140   -11.37   -11.40
    900.0    173    67/100    2.79    2.24     0.27     1.16    163   -11.78      8   -18.46      0        -      2    -3.02      0        -        16      144   -11.99   -11.98
   1000.0    180    64/100    2.93    2.04     0.28     1.20    168   -11.21     10   -19.98      0        -      2    -3.36      0        -        21      148   -11.53   -11.98
   1100.0    188    64/100    3.00    2.01     0.26     1.12    174   -11.20     12   -18.41      0        -      2    -3.59      0        -        33      156   -11.64   -11.28
   1200.0    184    65/100    2.95    2.13     0.30     1.05    165   -11.03     17   -19.58      0        -      2    -3.38      0        -        34      148   -11.51   -12.64
   1300.0    188    77/100    2.72    2.16     0.31     1.09    163   -10.47     23   -19.46      0        -      2    -3.48      0        -        26      146   -10.96   -13.34
   1400.0    203    76/100    2.73    2.32     0.31     1.18    170   -11.26     31   -20.19      0        -      2    -3.47      0        -        24      158   -12.39   -13.09
   1500.0    214    78/100    2.77    2.59     0.28     1.12    173   -10.62     39   -20.44      0        -      2    -3.24      0        -        23      159   -11.88   -13.66
   1600.0    231    79/100    2.77    2.60     0.27     1.17    183   -10.59     46   -21.88      0        -      2    -2.30      0        -        16      167   -11.97   -14.83
