== r39-s1  (**Ended:** budget reached.)
  t	alive	cols	cols abs	x sd	p0	p1	p2	p3	absorpt	inherit	jnt inh	mean m/s	diverged	wraps	crowded	stillb	births	mat blk	mat short	audit	mat resid	det cv	mat cv	det deep	corpses	floor low %	floor J	% on floor	floor con	refuge J	depth m
  11000	2707	1536/2211	5/2211	13.32	638	661	760	648	5	4	49	0.088	0	0	0	774	4218	214045	0	0.0000%	0	0.155	0.013	4.4624	726	22%	11603.8	0.7%	7.311	2707.5	-20.1
  12000	2703	1559/2211	10/2211	13.00	686	651	648	718	11	10	31	0.0687	0	0	0	901	4496	202729	0	0.0000%	0	0.173	0.043	3.9062	796	22.1%	12172.9	0.7%	5.269	2751.1	-20.5
  13000	2684	1523/2211	22/2211	13.34	616	651	702	715	22	22	19	0.0776	0	0	0	1014	4777	187143	0	0.0000%	0	0.198	0.013	4.5223	844	23.2%	12542.7	0.8%	4.875	3118.8	-20.7
  14000	2670	1516/2211	55/2211	12.97	707	647	670	646	58	57	12	0.0845	0	0	0	1137	5072	173155	0	0.0000%	0	0.207	0.032	4.2012	908	22.3%	12964.9	0.8%	4.655	2989.7	-21.1
  15000	2657	1533/2211	112/2211	13.09	667	620	672	698	119	118	8	0.0765	0	0	0	1247	5332	175430	0	0.0000%	0	0.178	0.045	3.6697	895	23.4%	11063.6	0.6%	3.835	2198.7	-21.2
  16000	2616	1510/2211	202/2211	13.32	606	657	676	677	215	214	6	0.078	0	0	0	1350	5577	185493	0	0.0000%	0	0.167	0.008	3.4272	872	24.7%	10429.4	0.8%	2.506	2465.2	-20.6
  17000	2602	1510/2211	291/2211	13.30	596	717	634	655	319	318	5	0.0799	0	0	0	1439	5807	197064	0	0.0000%	0	0.155	0.011	3.104	802	27.2%	8717.8	0.7%	2.275	1961.7	-20.9
  18000	2586	1505/2211	396/2211	13.22	603	661	686	636	434	432	4	0.0813	0	0	0	1530	6020	204389	0	0.0000%	0	0.16	0.021	1.8856	759	28.2%	6787.4	0.7%	1.886	1568.8	-21
  19000	2576	1493/2211	461/2211	13.29	659	636	674	607	523	521	4	0.0793	0	0	0	1614	6259	193446	0	0.0000%	0	0.136	0.016	1.6567	720	27.3%	4810.7	0.6%	2.496	1024.7	-21.2
  20000	2606	1490/2211	491/2211	13.07	660	671	639	636	568	566	3	0.0659	0	0	0	1699	6555	167982	0	0.0000%	0	0.143	0.01	1.1294	741	27.5%	3437.2	0.6%	2.576	751.5	-21.7
  21000	2601	1520/2211	455/2211	13.27	648	640	694	619	514	512	3	0.087	0	0	0	1775	6911	128229	0	0.0000%	0	0.139	0.06	0.8657	871	28%	2711.5	0.6%	0.861	618.6	-21.9
  22000	2537	1498/2211	91/2211	13.45	611	681	666	579	94	93	2	0.0847	0	0	0	1836	7597	99747	0	0.0000%	0	0.104	0.062	0.8996	1375	23.1%	2582.5	0.7%	1.303	578.3	-21.4
  23000	2626	1550/2211	7/2211	12.71	747	681	614	584	7	5	1	0.0664	0	0	0	1896	8116	92459	0	0.0000%	0	0.124	0.053	0.9386	1542	21.8%	2814.4	0.7%	1.647	624.1	-20.5
  24000	2679	1514/2211	1/2211	13.14	685	658	652	684	1	0	1	0.0918	0	0	0	1976	8424	118449	0	0.0000%	0	0.14	0.049	1.1626	1451	21.6%	3121.9	0.8%	3.233	779.6	-21.1
  25000	2681	1531/2211	1/2211	13.12	657	683	683	658	1	0	1	0.0889	0	0	0	2064	8703	147216	0	0.0000%	0	0.154	0.043	1.2285	969	21.9%	3470.6	0.7%	1.081	811.9	-21
  26000	2716	1520/2211	1/2211	13.35	743	642	664	667	1	0	0	0.0792	0	0	0	2174	8942	153471	0	0.0000%	0	0.16	0.016	1.1716	733	22.3%	3618.8	0.7%	1.897	764.1	-21.1
  27000	2729	1568/2211	0/2211	13.09	750	654	629	696	0	0	0	0.0704	0	0	0	2280	9177	159739	0	0.0000%	0	0.182	0.031	1.2603	699	22.4%	3996.9	0.7%	2.187	868	-21.3
  28000	2720	1555/2211	0/2211	13.01	725	657	695	643	0	0	0	0.0887	0	0	0	2363	9422	167241	0	0.0000%	0	0.208	0.021	1.3361	678	22.8%	4332.2	0.7%	1.483	939.9	-20.8
  29000	2720	1558/2211	0/2211	13.35	652	686	675	707	0	0	0	0.0844	0	0	0	2468	9668	171697	0	0.0000%	0	0.209	0.021	1.3302	720	22.7%	4562.3	0.8%	2.994	1093.7	-21
  30000	2714	1518/2211	0/2211	13.23	647	687	687	693	0	0	0	0.0746	0	0	0	2556	9919	173531	0	0.0000%	0	0.207	0.016	1.797	750	23.1%	4706.9	0.8%	2.367	1083.2	-21.3
