## E5 boom by boom. A boom is a local maximum of `inherit` above 550 with no larger sample within 3,000 s; its bust is the first later sample under a sixth of that peak. "-" in "bust at" means the count never fell that far before the budget.
arm	boom	peak inherit	at	share of the living	peak/6	bust at	s from peak	inherit at the bust	within 10,000 s	fell to (min after the peak)	at
r39-s1	1	792	14100	0.396	132.0	16000	1900	130	yes	0	19500
r39-s2	1	583	13000	0.266	97.2	15500	2500	97	yes	2	19000
r39-s2	2	987	29800	0.435	164.5	-	-	-	NO	973	30000
r39-s3	1	1287	22500	0.486	214.5	25100	2600	207	yes	0	29000
r39-s4	1	1020	24200	0.393	170.0	26400	2200	124	yes	0	28700
r39-s5	1	569	19900	0.218	94.8	22000	2100	93	yes	0	23800

## per seed: booms above 550, and how many of them busted within 10,000 s
arm	booms above 550	booms that busted within 10,000 s	E5 on the FIRST such boom	E5 on the run's LARGEST peak
r39-s1	1	1	yes	yes
r39-s2	2	1	yes	NO
r39-s3	1	1	yes	yes
r39-s4	1	1	yes	yes
r39-s5	1	1	yes	yes
count	-	-	5 of 5 (bar 3)	4 of 5 (bar 3)
