## E2  the water makes pockets: det cv above round 38's five-seed maximum at the same second (0.34 at 5,000, 0.17 at 15,000, 0.14 at 30,000) in 4 of 5; above it at 15,000 and 30,000 in EVERY seed; above 0.5 at 15,000 or 30,000 in 3 of 5.
arm	det cv 5000	> 0.34	det cv 15000	> 0.17	det cv 30000	> 0.14	above 0.5 at 15000 or 30000	mat cv 5000	mat cv 15000	mat cv 30000	det cv min after 5000	det cv max after 5000	det cv at end
r39-s1	0.211	NO	0.175	yes	0.189	yes	NO	0.055	0.071	0.066	0.070	0.250	0.189
r39-s2	0.387	yes	0.375	yes	0.561	yes	yes	0.035	0.038	0.012	0.107	0.561	0.561
r39-s3	0.463	yes	0.149	NO	0.106	NO	NO	0.053	0.036	0.014	0.076	0.463	0.106
r39-s4	0.292	NO	0.226	yes	0.098	NO	NO	0.034	0.042	0.058	0.085	0.292	0.098
r39-s5	0.294	NO	0.178	yes	0.207	yes	NO	0.063	0.045	0.016	0.074	0.294	0.207
count	2 of 5 at 5000	4 of 5 at 15000	3 of 5 at 30000	both 15000 and 30000 3 of 5 (bar 5)	above 0.5 1 of 5 (bar 3)
