## E5  the boom and bust is not the floor's to fix: the eaters' inherited count peaks above 550 and falls below a sixth of its peak within 10,000 s of the peak, in at least 3 of 5. Round 38 read peaks of 288 to 720 and troughs of 0 to 2.
arm	peak inherit	at	peak share of living	> 550	trough after peak	at	t of first fall below peak/6	within 10,000 s of peak	E5 (both)	inherit at end	absorpt at end	second boom after the trough
r39-s1	792	14100	0.396	yes	0	19500	16000	yes	yes	425	428	peak 547 at 29100
r39-s2	987	29800	0.435	yes	973	30000	never	NO	NO	973	973	-
r39-s3	1287	22500	0.486	yes	0	29000	25100	yes	yes	0	0	peak 140 at 25200
r39-s4	1020	24200	0.393	yes	0	28700	26400	yes	yes	0	4	peak 75 at 26500
r39-s5	569	19900	0.218	yes	0	23800	22000	yes	yes	0	0	peak 64 at 22100
count	4 of 5 (bar 3)

## the eaters' course at every 1,000 s (absorpt / inherit)
arm	1000	2000	3000	4000	5000	6000	7000	8000	9000	10000	11000	12000	13000	14000	15000	16000	17000	18000	19000	20000	21000	22000	23000	24000	25000	26000	27000	28000	29000	30000
r39-s1	1/0	1/0	0/0	1/0	1/0	1/0	3/1	4/1	39/36	113/110	246/244	482/479	669/665	783/779	601/598	132/130	20/20	6/6	4/2	2/0	4/1	6/3	16/13	55/51	140/138	269/267	360/358	465/462	549/546	428/425
r39-s2	1/0	0/0	0/0	2/0	6/3	15/11	26/22	78/74	249/245	357/354	444/442	535/534	584/583	478/478	184/184	51/49	18/16	10/7	4/2	5/3	9/7	24/22	64/62	198/196	332/330	436/435	576/575	793/792	931/930	973/973
r39-s3	4/2	3/2	3/2	8/5	10/6	15/11	20/16	22/18	24/20	34/30	73/68	121/117	189/185	258/255	354/351	480/478	610/609	781/780	931/930	1069/1067	1201/1199	1276/1274	1266/1265	1057/1054	283/283	16/15	7/6	4/3	0/0	0/0
r39-s4	2/0	0/0	1/0	2/0	2/0	2/0	2/0	2/0	2/0	5/2	7/5	9/6	14/11	23/19	55/52	117/114	188/184	250/246	333/329	534/530	710/706	854/849	944/939	1014/1011	915/911	451/448	19/18	5/2	4/0	4/0
r39-s5	0/0	0/0	1/0	2/0	2/0	2/0	3/1	3/1	4/2	6/4	5/4	11/10	22/22	58/57	119/118	215/214	319/318	434/432	523/521	568/566	514/512	94/93	7/5	1/0	1/0	1/0	0/0	0/0	0/0	0/0
