## E6  the disc stays mixed on a slope: the rim quarter 15 to 40% at 5,000, 15,000 and 30,000 s in 4 of 5; cols at least 60% of the live columns from 5,000 s. The second bar is miscalibrated for this geometry (0102's own early look): n bodies dropped at random into 2,211 columns occupy 1 - exp(-n/2211) of them, which is 58% at 1,900 bodies, so the column count is given against its own uniform expectation.
arm	p3/alive 5000	p3/alive 15000	p3/alive 30000	all three in 0.15-0.40	cols 5000	cols 15000	cols 30000	min cols share after 5000	cols >= 60% on every row from 5000	cols/uniform 5000	cols/uniform 15000	cols/uniform 30000	min cols/uniform after 5000	x sd 5000	x sd 15000	x sd 30000
r39-s1	0.225	0.241	0.232	yes	0.518	0.574	0.573	0.518	NO	0.969	0.991	0.987	0.943	13.79	13.09	12.97
r39-s2	0.339	0.309	0.274	yes	0.482	0.588	0.630	0.477	NO	0.949	0.958	0.981	0.918	14.30	13.77	13.22
r39-s3	0.281	0.253	0.270	yes	0.605	0.687	0.664	0.604	yes	0.938	0.984	0.975	0.922	13.62	13.13	13.57
r39-s4	0.271	0.255	0.255	yes	0.653	0.664	0.665	0.621	yes	0.963	0.961	0.972	0.934	13.33	12.86	12.83
r39-s5	0.275	0.263	0.255	yes	0.618	0.693	0.687	0.618	yes	0.929	0.991	0.971	0.925	13.92	13.09	13.23
count	rim quarter 5 of 5 (bar 4)	cols >= 60% 3 of 5
