## Round 39 from the positions reader: the columns (2,211 live at 2,200 m2), the spreads and the nearest-neighbour medians. A "~" in the reader's own output means the median is estimated from a sample of pairs; it is carried here as printed.
arm	t	reader n	reader cols	reader x sd	reader z sd	reader nn h	reader nn 3d	leaf	leaf y	stom	stom y	jointed	joint y
r39-s1	5000	1692	1141/2211	13.79	12.17	~0.48	~1.82	1691	-17.56	1	-19.06	59	-16.12
r39-s1	15000	1915	1265/2211	13.09	12.93	~0.52	~1.96	1314	-19.01	601	-26.46	0	-
r39-s1	30000	1920	1265/2211	12.97	12.96	~0.47	~1.94	1492	-19.11	428	-28.23	0	-
r39-s2	5000	1567	1062/2211	14.30	13.54	~0.52	~1.80	1559	-13.38	6	-32.06	80	-12.91
r39-s2	15000	2106	1302/2211	13.77	13.06	~0.46	~1.75	1921	-16.89	184	-20.47	1	-0.04
r39-s2	30000	2276	1389/2211	13.22	13.27	~0.45	~1.80	1302	-14.50	973	-28.03	0	-
r39-s3	5000	2285	1341/2211	13.62	13.11	~0.44	~1.45	2271	-11.22	10	-11.18	201	-10.79
r39-s3	15000	2652	1524/2211	13.13	12.85	~0.42	~1.76	2299	-17.78	353	-30.53	68	-8.59
r39-s3	30000	2523	1469/2211	13.57	13.06	~0.42	~1.75	2522	-19.46	0	-	1	-2.30
r39-s4	5000	2502	1447/2211	13.33	13.17	~0.43	~1.56	2497	-12.34	2	-16.12	290	-14.17
r39-s4	15000	2598	1467/2211	12.86	13.14	~0.43	~1.72	2539	-17.20	55	-31.62	71	-9.17
r39-s4	30000	2549	1472/2211	12.83	13.40	~0.42	~1.72	2544	-18.31	4	-20.72	0	-
r39-s5	5000	2414	1366/2211	13.92	13.82	~0.42	~1.63	2411	-16.45	2	-20.82	204	-16.30
r39-s5	15000	2656	1534/2211	13.09	13.23	~0.44	~1.79	2534	-20.70	118	-32.55	10	-12.23
r39-s5	30000	2714	1518/2211	13.23	13.18	~0.42	~1.76	2710	-21.34	0	-	0	-

## Matching 1, round 38's own method: the control is the round 38 seed whose `alive` is nearest AT THE SAME SECOND; matched when within 15 per cent. The water is 4.125 times round 38's, so at equal counts the spacing would go as its cube root, 1.60.
arm	t	r39 n	control	control n	abundance gap	matched within 15%	r39 nn 3d	control nn 3d	ratio
r39-s1	5000	1692	r38-s4	1609	0.049	yes	~1.82	~1.22	1.492
r39-s1	15000	1915	r38-s4	1716	0.104	yes	~1.96	~1.36	1.441
r39-s1	30000	1920	r38-s4	1642	0.145	yes	~1.94	~1.26	1.540
r39-s2	5000	1567	r38-s1	1606	0.025	yes	~1.80	~1.24	1.452
r39-s2	15000	2106	r38-s4	1716	0.185	no	~1.75	~1.36	1.287
r39-s2	30000	2276	r38-s4	1642	0.279	no	~1.80	~1.26	1.429
r39-s3	5000	2285	r38-s4	1609	0.296	no	~1.45	~1.22	1.189
r39-s3	15000	2652	r38-s4	1716	0.353	no	~1.76	~1.36	1.294
r39-s3	30000	2523	r38-s4	1642	0.349	no	~1.75	~1.26	1.389
r39-s4	5000	2502	r38-s4	1609	0.357	no	~1.56	~1.22	1.279
r39-s4	15000	2598	r38-s4	1716	0.339	no	~1.72	~1.36	1.265
r39-s4	30000	2549	r38-s4	1642	0.356	no	~1.72	~1.26	1.365
r39-s5	5000	2414	r38-s4	1609	0.333	no	~1.63	~1.22	1.336
r39-s5	15000	2656	r38-s4	1716	0.354	no	~1.79	~1.36	1.316
r39-s5	30000	2714	r38-s4	1642	0.395	no	~1.76	~1.26	1.397

## Matching 2, matched abundance anywhere in round 38's run: the control is the (seed, second) of round 38 whose `alive` is nearest, over its whole 30,000 s.
arm	t	r39 n	control	control t	control n	abundance gap	matched within 15%	r39 nn 3d	control nn 3d	ratio
r39-s1	5000	1692	r38-s1	6200	1692	0.000	yes	~1.82	~1.27	1.433
r39-s1	15000	1915	r38-s5	9300	1733	0.095	yes	~1.96	~1.30	1.508
r39-s1	30000	1920	r38-s5	9300	1733	0.097	yes	~1.94	~1.30	1.492
r39-s2	5000	1567	r38-s2	16700	1567	0.000	yes	~1.80	~1.34	1.343
r39-s2	15000	2106	r38-s5	9300	1733	0.177	no	~1.75	~1.30	1.346
r39-s2	30000	2276	r38-s5	9300	1733	0.239	no	~1.80	~1.30	1.385
r39-s3	5000	2285	r38-s5	9300	1733	0.242	no	~1.45	~1.30	1.115
r39-s3	15000	2652	r38-s5	9300	1733	0.347	no	~1.76	~1.30	1.354
r39-s3	30000	2523	r38-s5	9300	1733	0.313	no	~1.75	~1.30	1.346
r39-s4	5000	2502	r38-s5	9300	1733	0.307	no	~1.56	~1.30	1.200
r39-s4	15000	2598	r38-s5	9300	1733	0.333	no	~1.72	~1.30	1.323
r39-s4	30000	2549	r38-s5	9300	1733	0.320	no	~1.72	~1.30	1.323
r39-s5	5000	2414	r38-s5	9300	1733	0.282	no	~1.63	~1.30	1.254
r39-s5	15000	2656	r38-s5	9300	1733	0.348	no	~1.79	~1.30	1.377
r39-s5	30000	2714	r38-s5	9300	1733	0.361	no	~1.76	~1.30	1.354
## the ratio over the fifteen anchors: 1.115 to 1.508, mean 1.344 (the volume expectation is 1.60)

## round 38's own anchors, for reference (0101's D3 read 1.11 to 1.41 m three-dimensional against round 37b's 0.66 to 0.79 m)
arm	t	n	nn 3d	x sd	cols
r38-s1	5000	1606	~1.24	5.62	396/402
r38-s1	15000	1635	~1.32	5.53	396/402
r38-s1	30000	1597	~1.32	5.58	397/402
r38-s2	5000	1487	~1.22	5.67	392/402
r38-s2	15000	1569	~1.26	5.66	391/402
r38-s2	30000	1602	~1.33	5.69	390/402
r38-s3	5000	1339	~1.30	5.85	375/402
