t,x,y,z,qw,qx,qy,qz,q0
8.6,-0.000128,-9.998302,0,0.994113,0,0,0.108353,0.390983
8.7,-0.000112,-9.998657,0,0.994999,0,0,0.099884,0.360126
8.8,-0.000085,-9.999288,0,0.996559,0,0,0.082891,0.298405
8.9,-0.000051,-9.999978,0,0.998257,0,0,0.059024,0.211876
9,-0.000014,-10.0005,0,0.99953,0,0,0.030647,0.109142
9.1,0.000021,-10.0007,0,1,0,0,0.000585,0.000414
9.2,0.000052,-10.00054,0,0.999603,0,0,-0.028188,-0.103609
9.3,0.000076,-10.00014,0,0.998601,0,0,-0.052869,-0.192826
9.4,0.000092,-9.999682,0,0.997471,0,0,-0.071079,-0.258643
9.5,0.000099,-9.999371,0,0.996709,0,0,-0.081064,-0.294692
9.6,0.000095,-9.999342,0,0.996646,0,0,-0.08184,-0.29738
9.7,0.000079,-9.999609,0,0.99731,0,0,-0.073295,-0.266307
9.8,0.000053,-10.00006,0,0.998418,0,0,-0.056236,-0.204439
9.9,0.000021,-10.0005,0,0.999477,0,0,-0.032332,-0.117866
10,-0.000014,-10.00072,0,0.999992,0,0,-0.003954,-0.015188
10.1,-0.000048,-10.0006,0,0.99966,0,0,0.026081,0.093428
10.2,-0.000079,-10.00014,0,0.998496,0,0,0.054819,0.197352
10.3,-0.000105,-9.999482,0,0.996837,0,0,0.079476,0.286543
10.4,-0.000125,-9.998837,0,0.995217,0,0,0.097691,0.352437
10.5,-0.000135,-9.998423,0,0.994182,0,0,0.107716,0.388657
10.6,-0.000133,-9.998384,0,0.99409,0,0,0.108558,0.391572
10.7,-0.000118,-9.998739,0,0.994979,0,0,0.100089,0.360716
10.8,-0.000091,-9.99937,0,0.996542,0,0,0.083096,0.298997
10.9,-0.000056,-10.00006,0,0.998245,0,0,0.059229,0.212468
11,-0.000019,-10.00058,0,0.999524,0,0,0.030852,0.109734
11.1,0.000016,-10.00078,0,1,0,0,0.000791,0.001006
11.2,0.000046,-10.00063,0,0.999609,0,0,-0.027983,-0.103018
11.3,0.00007,-10.00022,0,0.998612,0,0,-0.052664,-0.192235
11.4,0.000087,-9.999766,0,0.997485,0,0,-0.070874,-0.258052
11.5,0.000094,-9.999454,0,0.996726,0,0,-0.08086,-0.2941
11.6,0.000089,-9.999424,0,0.996662,0,0,-0.081635,-0.296787
11.7,0.000074,-9.999689,0,0.997325,0,0,-0.073089,-0.265713
11.8,0.000048,-10.00014,0,0.998429,0,0,-0.05603,-0.203844
11.9,0.000015,-10.00057,0,0.999484,0,0,-0.032126,-0.117271
12,-0.00002,-10.00079,0,0.999993,0,0,-0.003748,-0.014594
12.1,-0.000053,-10.00067,0,0.999655,0,0,0.026286,0.094022
12.2,-0.000084,-10.00021,0,0.998485,0,0,0.055024,0.197945
12.3,-0.000111,-9.999548,0,0.99682,0,0,0.079681,0.287136
12.4,-0.000131,-9.998899,0,0.995197,0,0,0.097896,0.35303
12.5,-0.000141,-9.998484,0,0.99416,0,0,0.10792,0.389252
12.6,-0.000139,-9.998445,0,0.994068,0,0,0.108763,0.392169
12.7,-0.000124,-9.9988,0,0.994958,0,0,0.100295,0.361315
12.8,-0.000097,-9.999431,0,0.996524,0,0,0.083303,0.299597
12.9,-0.000062,-10.00012,0,0.998232,0,0,0.059436,0.213068
13,-0.000025,-10.00064,0,0.999518,0,0,0.031059,0.110333
13.1,0.00001,-10.00084,0,1,0,0,0.000997,0.001604
13.2,0.000041,-10.00069,0,0.999614,0,0,-0.027777,-0.10242
13.3,0.000065,-10.00029,0,0.998623,0,0,-0.052459,-0.191637
13.4,0.000081,-9.999831,0,0.9975,0,0,-0.070669,-0.257454
13.5,0.000088,-9.999519,0,0.996742,0,0,-0.080654,-0.293501
13.6,0.000083,-9.999489,0,0.996679,0,0,-0.081429,-0.296187
13.7,0.000067,-9.999754,0,0.997341,0,0,-0.072883,-0.265111
13.8,0.000042,-10.0002,0,0.998441,0,0,-0.055824,-0.203242
13.9,0.000009,-10.00063,0,0.99949,0,0,-0.031919,-0.116669
14,-0.000026,-10.00085,0,0.999994,0,0,-0.003541,-0.013992
14.1,-0.00006,-10.00072,0,0.999649,0,0,0.026493,0.094623
14.2,-0.00009,-10.00026,0,0.998474,0,0,0.05523,0.198546
14.3,-0.000117,-9.999598,0,0.996804,0,0,0.079887,0.287736
14.4,-0.000137,-9.998945,0,0.995176,0,0,0.098102,0.353632
14.5,-0.000148,-9.998528,0,0.994137,0,0,0.108127,0.389855
14.6,-0.000145,-9.998488,0,0.994045,0,0,0.108969,0.392773
14.7,-0.00013,-9.998844,0,0.994937,0,0,0.100502,0.361921
14.8,-0.000103,-9.999475,0,0.996507,0,0,0.08351,0.300204
14.9,-0.000069,-10.00016,0,0.99822,0,0,0.059644,0.213676
15,-0.000031,-10.00069,0,0.999511,0,0,0.031266,0.110941
15.1,0.000004,-10.00089,0,0.999999,0,0,0.001205,0.002211
15.2,0.000034,-10.00074,0,0.99962,0,0,-0.02757,-0.101814
15.3,0.000058,-10.00034,0,0.998634,0,0,-0.052252,-0.191032
15.4,0.000074,-9.999881,0,0.997515,0,0,-0.070462,-0.256848
15.5,0.000081,-9.999569,0,0.996759,0,0,-0.080447,-0.292894
15.6,0.000077,-9.999537,0,0.996696,0,0,-0.081222,-0.295579
15.7,0.000061,-9.999801,0,0.997356,0,0,-0.072676,-0.264502
15.8,0.000035,-10.00025,0,0.998452,0,0,-0.055616,-0.202632
15.9,0.000003,-10.00068,0,0.999497,0,0,-0.031712,-0.116059
16,-0.000032,-10.00089,0,0.999995,0,0,-0.003334,-0.013382
16.1,-0.000066,-10.00076,0,0.999644,0,0,0.0267,0.095232
16.2,-0.000097,-10.0003,0,0.998462,0,0,0.055437,0.199154
16.3,-0.000124,-9.99963,0,0.996787,0,0,0.080093,0.288344
16.4,-0.000144,-9.998978,0,0.995156,0,0,0.098308,0.35424
16.5,-0.000154,-9.998557,0,0.994115,0,0,0.108333,0.390465
16.6,-0.000152,-9.998516,0,0.994023,0,0,0.109176,0.393385
16.7,-0.000137,-9.998872,0,0.994916,0,0,0.100709,0.362534
16.8,-0.00011,-9.999502,0,0.99649,0,0,0.083718,0.300818
16.9,-0.000075,-10.00019,0,0.998207,0,0,0.059852,0.214291
17,-0.000038,-10.00072,0,0.999505,0,0,0.031474,0.111556
17.1,-0.000003,-10.00092,0,0.999999,0,0,0.001412,0.002825
17.2,0.000027,-10.00077,0,0.999626,0,0,-0.027363,-0.1012
