t,x,y,z,qw,qx,qy,qz,q0,q1
7.3,-0.011652,-9.989391,0,0.992309,0,0,-0.123784,-0.188114,-0.374326
7.4,-0.011643,-9.988718,0,0.989274,0,0,-0.14607,-0.261555,-0.328613
7.5,-0.010924,-9.988554,0,0.987806,0,0,-0.155689,-0.305572,-0.273294
7.6,-0.009561,-9.989021,0,0.988444,0,0,-0.151588,-0.315674,-0.213713
7.7,-0.007669,-9.990022,0,0.990976,0,0,-0.134039,-0.290661,-0.155705
7.8,-0.005414,-9.991258,0,0.994505,0,0,-0.104688,-0.232879,-0.105006
7.9,-0.003002,-9.992329,0,0.997791,0,0,-0.066429,-0.148054,-0.066623
8,-0.00067,-9.992873,0,0.999733,0,0,-0.023109,-0.044708,-0.044317
8.1,0.001336,-9.992705,0,0.999781,0,0,0.020919,0.066843,-0.040263
8.2,0.002805,-9.991873,0,0.998119,0,0,0.061302,0.175663,-0.054867
8.3,0.003589,-9.990627,0,0.99556,0,0,0.094134,0.271278,-0.086766
8.4,0.003623,-9.989329,0,0.993216,0,0,0.116282,0.344527,-0.132947
8.5,0.00292,-9.988304,0,0.992079,0,0,0.125619,0.388288,-0.188936
8.6,0.001545,-9.987747,0,0.992629,0,0,0.121193,0.398123,-0.24921
8.7,-0.000375,-9.987655,0,0.994641,0,0,0.103387,0.372888,-0.307754
8.8,-0.002659,-9.987837,0,0.997263,0,0,0.07394,0.314971,-0.358711
8.9,-0.00508,-9.987999,0,0.99936,0,0,0.035777,0.230108,-0.397049
9,-0.00739,-9.987872,0,0.999973,0,0,-0.007298,0.126789,-0.419094
9.1,-0.009346,-9.987334,0,0.998697,0,0,-0.051031,0.015276,-0.422852
9.2,-0.010748,-9.986462,0,0.995833,0,0,-0.091192,-0.093553,-0.408115
9.3,-0.011468,-9.985505,0,0.992287,0,0,-0.123966,-0.189265,-0.37638
9.4,-0.011458,-9.984788,0,0.989248,0,0,-0.146248,-0.26271,-0.330675
9.5,-0.010737,-9.984582,0,0.987779,0,0,-0.155864,-0.306734,-0.275363
9.6,-0.009372,-9.985011,0,0.988417,0,0,-0.151761,-0.316843,-0.215789
9.7,-0.007478,-9.985977,0,0.990953,0,0,-0.134208,-0.291837,-0.157786
9.8,-0.00522,-9.987181,0,0.994488,0,0,-0.104851,-0.23406,-0.10709
9.9,-0.002805,-9.988221,0,0.997781,0,0,-0.066584,-0.149236,-0.068705
10,-0.000472,-9.988735,0,0.99973,0,0,-0.023254,-0.045887,-0.046396
10.1,0.001537,-9.988535,0,0.999784,0,0,0.020784,0.065668,-0.042336
