## M1 candidate 1  the ring a child is born into (lineage `pt`, founders excluded) against the ring the standing crowd is in (report p0..p3), in windows of 2000 s
arm	window	births	b0	b1	b2	b3	birth s3	crowd s3	birth s0+s1	crowd s0+s1	birth mean ring	crowd mean ring
r37-s5	20000-22000	1600	523	399	363	315	0.197	0.629	0.576	0.207	1.294	2.355
r37-s5	22000-24000	2699	880	736	610	473	0.175	0.610	0.599	0.220	1.250	2.326
r37-s5	24000-26000	2943	976	813	663	491	0.167	0.583	0.608	0.237	1.227	2.260
r37-s5	26000-28000	540	191	164	139	46	0.085	0.796	0.657	0.087	1.074	2.694
r37-s5	28000-30000	205	88	60	41	16	0.078	0.765	0.722	0.075	0.927	2.669

## M1 candidate 1  whole run
arm	births	birth rim share	crowd rim share	birth mean ring	crowd mean ring
r37-s1	17464	0.115	0.691	1.038	2.537
r37-s2	21213	0.154	0.680	1.178	2.483
r37-s3	19184	0.138	0.656	1.077	2.469
r37-s4	19017	0.154	0.671	1.189	2.476
r37-s5	19893	0.158	0.716	1.186	2.540
