arm r37-s1 | run 2026-09-12-072848-96d4bce6 | tank r=5.64 m (100 m2), 60 m deep, 4 ring(s)
columns of 1 m: 100 | lineage.jsonl: 17585 births, 120 clades

        t      n      cols    x sd    z sd     nn h    nn 3d   leaf   leaf y   stom   stom y   mixo   mixo y    jnt    jnt y  plain  plain y  clade 1m  jointed  joint y  rigid y
    100.0     41    33/100    3.27    2.69     0.65     2.85     32   -18.73      5   -14.70      0        -      3   -19.49      1   -18.42         0       21   -16.97   -19.67
    200.0     56    43/100    3.27    2.82     0.58     1.85     52   -10.84      3    -9.66      0        -      1    -9.61      0        -         0       26    -8.37   -12.83
    300.0     69    43/100    3.39    3.32     0.45     1.50     66    -7.82      2    -1.08      0        -      1    -7.31      0        -         6       33    -6.19    -8.93
    400.0     77    43/100    3.64    2.97     0.35     1.27     75    -6.76      2    -1.29      0        -      0        -      0        -         9       37    -5.92    -7.27
    500.0     95    44/100    3.82    2.91     0.31     1.04     93    -6.73      2    -1.58      0        -      0        -      0        -        15       45    -6.07    -7.11
    600.0    115    53/100    3.85    2.95     0.33     1.04    113    -7.46      2    -1.89      0        -      0        -      0        -        18       55    -7.23    -7.49
    700.0    126    54/100    3.95    2.93     0.25     0.97    123    -8.78      2    -2.44      0        -      1   -10.37      0        -        21       63    -8.71    -8.68
    800.0    146    60/100    3.61    3.16     0.23     1.01    144   -10.40      2    -3.81      0        -      0        -      0        -        20       73   -10.42   -10.19
    900.0    160    66/100    3.53    3.26     0.26     1.01    158   -12.43      2    -5.25      0        -      0        -      0        -        28       84   -12.56   -12.10
   1000.0    176    61/100    3.71    3.14     0.21     0.90    174   -14.43      2    -6.75      0        -      0        -      0        -        36       90   -14.32   -14.37
   1100.0    191    69/100    3.42    3.39     0.19     0.84    189   -15.65      2    -8.34      0        -      0        -      0        -        43       90   -15.42   -15.71
   1200.0    202    68/100    3.52    3.31     0.19     0.85    199   -16.45      2    -9.61      0        -      0        -      1   -15.02        53       85   -16.32   -16.42
   1300.0    211    62/100    3.42    3.43     0.18     0.77    208   -16.63      2   -10.27      0        -      0        -      1   -15.21        68       76   -16.24   -16.75
   1400.0    217    69/100    3.31    3.51     0.17     0.74    214   -16.47      2   -10.22      0        -      0        -      1   -15.02        70       72   -15.87   -16.68
   1500.0    213    59/100    3.36    3.46     0.16     0.79    203   -15.57      9   -16.31      0        -      0        -      1   -13.75        74       66   -14.71   -15.99
   1600.0    212    59/100    3.27    3.70     0.18     0.86    189   -13.97     22   -17.44      0        -      0        -      1   -11.29        62       62   -12.97   -14.87
   1700.0    224    61/100    3.37    3.54     0.15     0.86    177   -11.53     46   -17.52      0        -      0        -      1    -9.00        58       60   -10.82   -13.46
   1800.0    239    62/100    3.36    3.55     0.17     0.81    172    -8.95     66   -16.70      0        -      0        -      1    -6.00        86       60    -8.69   -11.88
   1900.0    251    68/100    3.28    3.59     0.15     0.85    172    -6.73     78   -15.91      0        -      0        -      1    -2.85        96       60    -6.71   -10.47
   2000.0    264    67/100    3.23    3.58     0.16     0.81    174    -5.08     89   -15.00      0        -      0        -      1    -0.85        87       59    -5.21    -9.33
   2100.0    277    69/100    3.26    3.65     0.16     0.82    178    -4.15     98   -14.37      0        -      0        -      1    -0.14        86       60    -4.41    -8.67
   2200.0    289    62/100    3.19    3.89     0.16     0.72    184    -3.81    104   -14.49      0        -      0        -      1    -1.02       118       62    -4.19    -8.59
   2300.0    307    62/100    3.18    3.95     0.15     0.79    190    -3.96    116   -15.63      0        -      0        -      1    -2.14       121       61    -4.36    -9.36
   2400.0    325    67/100    3.16    3.93     0.13     0.84    195    -4.52    129   -17.90      0        -      0        -      1    -2.42       124       63    -5.23   -10.93
   2500.0    345    73/100    3.00    4.10     0.14     0.82    205    -5.94    139   -20.61      0        -      0        -      1    -3.29       123       66    -6.83   -13.03
   2600.0    365    81/100    3.18    3.86     0.12     0.86    211    -8.10    153   -22.78      0        -      0        -      1    -4.67       132       67    -8.96   -15.43
   2700.0    373    80/100    3.37    3.69     0.14     0.91    216   -11.04    156   -23.89      0        -      0        -      1    -7.41       112       67   -11.87   -17.39
   2800.0    394    82/100    3.30    3.62     0.12     0.79    240   -14.87    153   -23.56      0        -      0        -      1   -12.06       155       69   -15.49   -18.82
   2900.0    416    95/100    3.41    3.41     0.14     0.71    254   -17.45    161   -22.92      0        -      0        -      1   -15.88       185       68   -18.21   -19.82
   3000.0    449    94/100    3.50    3.39     0.13     0.63    298   -18.94    150   -22.20      0        -      0        -      1   -17.03       234       85   -19.64   -20.11
   3100.0    475    90/100    3.46    3.41     0.12     0.53    320   -19.17    153   -20.89      0        -      0        -      2   -19.12       284       96   -19.69   -19.73
   3200.0    484    83/100    3.50    3.42     0.11     0.47    338   -18.23    145   -18.68      0        -      0        -      1   -17.19       323       98   -18.61   -18.30
   3300.0    492    74/100    3.42    3.44     0.10     0.47    341   -15.83    150   -15.67      0        -      0        -      1   -14.54       328       97   -16.36   -15.64
   3400.0    487    65/100    3.29    3.45     0.10     0.45    336   -12.25    150   -11.88      0        -      0        -      1   -11.42       357       95   -12.70   -12.00
   3500.0    478    65/100    3.25    3.49     0.11     0.47    329    -7.99    149    -7.43      0        -      0        -      0        -       373       93    -8.61    -7.62
   3600.0    476    63/100    3.40    3.48     0.11     0.47    326    -4.08    150    -3.53      0        -      0        -      0        -       377       92    -4.63    -3.74
   3700.0    475    63/100    3.58    3.38     0.13     0.43    325    -1.61    150    -1.21      0        -      0        -      0        -       409       91    -1.90    -1.39
   3800.0    474    70/100    3.41    3.51     0.14     0.42    324    -0.96    150    -0.67      0        -      0        -      0        -       425       91    -1.09    -0.81
   3900.0    474    73/100    3.50    3.51     0.15     0.43    324    -1.00    150    -0.70      0        -      0        -      0        -       425       91    -1.10    -0.86
   4000.0    493    88/100    3.63    3.39     0.14     0.44    327    -1.02    165    -0.75      0        -      0        -      1    -0.47       444       91    -1.12    -0.88
   4100.0    524    88/100    3.60    3.44     0.14     0.42    337    -1.08    187    -0.81      0        -      0        -      0        -       464       90    -1.20    -0.94
   4200.0    554    87/100    3.70    3.41     0.14     0.43    346    -1.28    208    -0.91      0        -      0        -      0        -       481       90    -1.33    -1.10
