arm r36-s4 | run 2026-09-11-170833-55a61291 | box 20 x 5 m, 60 m deep, 4 patch(es)
columns of 1 m: 100 | lineage.jsonl: 22977 births, 85 clades

        t      n      cols    x sd    z sd     nn h    nn 3d   leaf   leaf y   stom   stom y   mixo   mixo y    jnt    jnt y  plain  plain y  clade 1m  jointed  joint y  rigid y
    100.0     43    36/100    6.31    1.64     0.83     2.47     36   -13.31      4   -18.62      0        -      2    -8.93      1   -11.16         2       22   -10.32   -16.93
    200.0     70    50/100    4.92    1.64     0.57     1.52     68    -6.44      1    -0.35      0        -      1    -4.31      0        -         4       38    -5.16    -7.69
    300.0    109    65/100    4.80    1.80     0.39     1.23    108    -5.53      1    -3.83      0        -      0        -      0        -         6       47    -6.31    -4.92
    400.0    158    80/100    6.54    2.27     0.41     1.10    157    -6.75      1    -9.80      0        -      0        -      0        -        33       65    -7.93    -5.97
    500.0    208    91/100    7.09    1.98     0.34     0.99    206    -8.04      2    -7.66      0        -      0        -      0        -        36       73    -9.23    -7.40
    600.0    247    91/100    6.99    1.62     0.27     1.05    245    -9.08      2    -1.36      0        -      0        -      0        -        42       83    -9.10    -8.98
    700.0    280    93/100    6.10    2.03     0.28     0.97    278   -10.29      2    -2.36      0        -      0        -      0        -        65       89   -10.35   -10.17
    800.0    306    96/100    6.68    1.71     0.27     0.95    304   -10.68      2    -6.28      0        -      0        -      0        -        72       95   -10.86   -10.55
    900.0    337    98/100    6.44    2.02     0.29     0.97    335   -11.01      2    -5.55      0        -      0        -      0        -        77       98   -10.97   -10.98
   1000.0    363    96/100    9.10    2.09     0.24     0.95    361   -11.26      2    -2.65      0        -      0        -      0        -        87      102   -10.70   -11.41
   1100.0    387    95/100    7.95    1.69     0.22     0.92    385   -11.80      2    -4.80      0        -      0        -      0        -       104      100   -10.93   -12.06
   1200.0    416    96/100    7.15    1.71     0.23     0.88    414   -11.73      2    -9.86      0        -      0        -      0        -       112      100    -9.96   -12.28
   1300.0    434    98/100    6.72    2.26     0.21     0.86    432   -12.02      2   -10.19      0        -      0        -      0        -       118      111   -11.13   -12.31
   1400.0    448    94/100    6.58    1.72     0.20     0.93    446   -12.43      2   -13.00      0        -      0        -      0        -       122      111   -11.56   -12.72
   1500.0    456   100/100    7.81    2.04     0.21     0.93    454   -12.64      2    -9.06      0        -      0        -      0        -        96      110   -11.90   -12.85
   1600.0    480   100/100    7.67    1.78     0.21     0.86    478   -13.19      2   -11.04      0        -      0        -      0        -       144      106   -11.92   -13.54
   1700.0    493   100/100    6.63    2.06     0.20     0.93    491   -13.83      2   -11.22      0        -      0        -      0        -       139      101   -11.81   -14.33
   1800.0    523    99/100    6.62    2.09     0.21     0.89    521   -14.72      2   -11.75      0        -      0        -      0        -       160       99   -12.06   -15.33
   1900.0    548    99/100    6.63    1.99     0.20     0.87    545   -15.00      3   -17.37      0        -      0        -      0        -       174       99   -12.65   -15.54
   2000.0    549   100/100    7.18    2.23     0.19     0.94    546   -14.78      3   -18.15      0        -      0        -      0        -       160       95   -12.43   -15.30
   2100.0    559   100/100    6.78    1.94     0.19     0.91    554   -15.15      5   -18.94      0        -      0        -      0        -       145       93   -12.25   -15.77
   2200.0    555    99/100    7.55    1.77     0.20     0.85    547   -14.81      7   -20.67      0        -      0        -      1   -20.95       157       93   -13.62   -15.16
   2300.0    563    98/100    8.80    1.65     0.19     0.88    552   -14.46      9   -21.20      0        -      0        -      2   -20.98       167       89   -12.70   -14.94
   2400.0    584    99/100    7.59    1.82     0.18     0.91    569   -14.86     14   -24.89      0        -      0        -      1   -20.09       202       88   -13.47   -15.40
   2500.0    603   100/100    7.20    1.91     0.17     0.88    581   -14.89     21   -25.78      0        -      0        -      1   -18.69       187       85   -13.15   -15.62
   2600.0    629    99/100    8.74    1.72     0.18     0.86    594   -14.90     33   -26.75      0        -      0        -      2   -22.80       209       91   -15.50   -15.55
   2700.0    644   100/100    8.45    2.02     0.19     0.85    592   -15.22     51   -28.59      0        -      0        -      1   -10.64       211       88   -15.53   -16.39
   2800.0    663   100/100    7.67    1.97     0.18     0.86    568   -14.44     94   -29.41      0        -      0        -      1   -11.22       229       85   -15.15   -16.76
   2900.0    698    99/100    7.36    2.00     0.17     0.85    557   -13.90    139   -29.33      0        -      0        -      2   -16.95       261       76   -14.00   -17.34
   3000.0    755   100/100    7.33    2.06     0.17     0.87    554   -13.93    199   -29.21      0        -      0        -      2   -16.32       279       71   -13.52   -18.43
   3100.0    819   100/100    6.90    1.90     0.16     0.83    562   -13.99    256   -29.66      0        -      0        -      1    -2.52       327       69   -14.53   -19.27
   3200.0    857   100/100    7.02    2.42     0.15     0.84    559   -13.92    297   -29.80      0        -      0        -      1    -0.68       366       70   -14.73   -19.82
   3300.0    905   100/100    6.95    2.02     0.15     0.84    564   -13.87    340   -30.30      0        -      0        -      1    -6.87       395       69   -14.34   -20.50
   3400.0    936    99/100    7.23    1.98     0.15     0.82    562   -14.01    373   -30.93      0        -      0        -      1    -6.75       416       66   -14.01   -21.26
   3500.0    977   100/100    9.30    2.43     0.15     0.80    565   -14.36    411   -30.97      0        -      0        -      1    -9.68       450       66   -14.07   -21.87
   3600.0   1022   100/100   10.15    2.24     0.15     0.76    568   -14.60    453   -30.35      0        -      0        -      1   -15.73       517       64   -13.98   -22.09
   3700.0   1063   100/100    7.87    2.39     0.14     0.78    575   -14.84    486   -30.33      0        -      0        -      2   -13.48       521       65   -14.63   -22.40
   3800.0   1098   100/100    8.00    2.07     0.14     0.78    581   -15.17    515   -30.15      0        -      0        -      2   -13.61       551       63   -14.97   -22.63
   3900.0   1131   100/100    8.10    2.12     0.14     0.79    586   -15.30    543   -30.22      0        -      0        -      2   -11.46       567       63   -14.97   -22.90
   4000.0   1165   100/100    8.22    2.34     0.14     0.77    597   -15.36    566   -30.21      0        -      0        -      2    -8.29       570       61   -15.16   -22.97
   4100.0   1188   100/100    8.05    2.19     0.13     0.76    599   -15.46    587   -30.36      0        -      0        -      2    -5.69       606       59   -15.34   -23.20
   4200.0   1219   100/100    7.22    1.89    ~0.14    ~0.76    596   -15.59    621   -30.20      0        -      0        -      2    -5.22       619       58   -15.75   -23.38
   4300.0   1259   100/100    7.90    1.89    ~0.13    ~0.74    605   -16.19    652   -29.83      0        -      0        -      2    -8.89       665       58   -16.55   -23.57
   4400.0   1287   100/100    8.15    2.38    ~0.13    ~0.70    613   -16.37    672   -29.58      0        -      0        -      2   -14.64       701       58   -16.64   -23.58
   4500.0   1308   100/100    7.92    2.02    ~0.13    ~0.77    620   -16.44    686   -29.00      0        -      0        -      2   -12.60       679       57   -16.40   -23.32
   4600.0   1321   100/100    7.71    2.37    ~0.13    ~0.75    625   -17.09    694   -28.54      0        -      0        -      2   -10.93       755       55   -17.12   -23.36
   4700.0   1327   100/100    8.52    2.12    ~0.13    ~0.73    628   -17.20    697   -28.09      0        -      0        -      2    -9.20       732       53   -16.85   -23.16
   4800.0   1346   100/100    8.77    2.11    ~0.11    ~0.71    642   -17.45    702   -27.49      0        -      0        -      2   -12.71       770       53   -16.46   -22.93
   4900.0   1346   100/100    8.06    2.06    ~0.13    ~0.72    649   -17.36    696   -27.21      0        -      0        -      1    -4.15       770       52   -16.29   -22.69
   5000.0   1352   100/100    8.21    1.89    ~0.13    ~0.73    651   -17.39    700   -27.02      0        -      0        -      1    -2.27       780       51   -15.54   -22.63
   5100.0   1355   100/100    9.66    1.96    ~0.12    ~0.68    660   -17.61    694   -26.52      0        -      0        -      1    -3.06       810       52   -17.11   -22.36
   5200.0   1343   100/100    8.92    1.96    ~0.12    ~0.68    656   -17.56    685   -25.99      0        -      0        -      2    -4.29       798       49   -16.19   -22.05
   5300.0   1336   100/100    7.44    1.99    ~0.12    ~0.70    659   -17.91    675   -25.27      0        -      0        -      2    -7.91       808       49   -16.37   -21.81
   5400.0   1321   100/100    8.73    1.80    ~0.13    ~0.70    663   -18.27    656   -24.51      0        -      0        -      2   -12.66       751       49   -17.60   -21.51
   5500.0   1331   100/100    7.77    2.31    ~0.12    ~0.76    668   -18.44    661   -24.63      0        -      0        -      2   -16.54       719       46   -16.19   -21.70
   5600.0   1346   100/100    8.02    2.39    ~0.13    ~0.72    685   -19.15    659   -24.53      0        -      0        -      2   -16.98       745       45   -16.81   -21.95
   5700.0   1344   100/100    8.59    1.84    ~0.13    ~0.69    683   -19.08    659   -24.59      0        -      0        -      2   -19.34       748       46   -18.09   -21.91
   5800.0   1346   100/100    7.56    2.21    ~0.13    ~0.76    665   -18.73    679   -25.27      0        -      0        -      2   -18.54       737       40   -17.36   -22.17
