arm r37-s3 | run 2026-09-12-072956-96d4bce6 | tank r=5.64 m (100 m2), 60 m deep, 4 ring(s)
columns of 1 m: 100 | lineage.jsonl: 19266 births, 82 clades

        t      n      cols    x sd    z sd     nn h    nn 3d   leaf   leaf y   stom   stom y   mixo   mixo y    jnt    jnt y  plain  plain y  clade 1m  jointed  joint y  rigid y
    100.0     44    36/100    3.02    2.89     0.57     2.30     35   -10.18      7   -12.27      0        -      2   -16.95      0        -         0       35   -10.52   -12.00
    200.0     63    42/100    3.41    3.14     0.55     1.71     59    -6.19      3    -9.41      0        -      1    -3.71      0        -         2       49    -5.78    -8.15
    300.0     82    55/100    3.29    3.28     0.53     1.24     78    -4.61      3    -6.40      0        -      1    -1.45      0        -         4       62    -4.55    -4.90
    400.0     95    48/100    3.39    3.42     0.30     0.98     91    -3.49      3    -3.60      0        -      1    -0.73      0        -        13       71    -3.51    -3.36
    500.0    106    52/100    3.52    3.42     0.28     0.87    100    -2.82      5    -3.91      0        -      1    -0.03      0        -        22       79    -2.98    -2.46
    600.0    122    58/100    3.48    3.44     0.32     0.82    113    -2.57      8    -3.79      0        -      1    -1.22      0        -        30       87    -2.73    -2.40
    700.0    139    57/100    3.50    3.36     0.26     0.80    125    -2.70     13    -4.56      0        -      1    -1.07      0        -        27       93    -2.75    -3.09
    800.0    153    53/100    3.42    3.59     0.21     0.83    129    -3.00     23    -5.33      0        -      1    -1.42      0        -        40       95    -3.04    -3.83
    900.0    176    62/100    3.53    3.54     0.23     0.78    136    -3.77     39    -6.57      0        -      1    -1.94      0        -        40      100    -3.84    -5.08
   1000.0    202    62/100    3.47    3.62     0.20     0.89    142    -5.59     59   -10.11      0        -      1    -3.81      0        -        36      105    -5.90    -8.00
   1100.0    237    66/100    3.60    3.37     0.18     1.01    149    -8.69     87   -16.11      0        -      1    -7.48      0        -        43      108    -9.34   -13.14
   1200.0    263    68/100    3.55    3.40     0.17     1.01    155   -13.09    107   -22.71      0        -      1   -14.80      0        -        65      109   -13.98   -19.16
   1300.0    282    80/100    3.13    3.58     0.19     1.07    149   -17.06    131   -26.93      0        -      1   -25.46      1    -9.87        58      103   -17.47   -24.05
   1400.0    314    88/100    3.05    3.67     0.18     1.00    149   -21.55    163   -28.39      0        -      1   -27.12      1   -20.21        94      103   -22.08   -26.59
   1500.0    327    90/100    3.13    3.40     0.19     0.76    159   -24.35    166   -29.03      0        -      1   -28.11      1   -28.04       124       99   -24.89   -27.56
   1600.0    342    93/100    3.06    3.62     0.18     0.80    171   -25.51    169   -28.77      0        -      1   -28.36      1   -29.09       123      107   -26.38   -27.49
   1700.0    357    93/100    3.29    3.36     0.19     0.66    196   -25.94    159   -27.63      0        -      1   -27.81      1   -27.85       162      119   -26.87   -26.62
   1800.0    363    90/100    3.28    3.36     0.17     0.59    203   -24.87    160   -25.42      0        -      0        -      0        -       172      109   -25.31   -25.03
   1900.0    388    92/100    3.52    3.16     0.17     0.62    221   -22.73    167   -22.41      0        -      0        -      0        -       173      122   -23.74   -22.07
   2000.0    403    83/100    3.66    3.13     0.13     0.62    232   -18.65    171   -17.04      0        -      0        -      0        -       198      137   -19.87   -16.99
   2100.0    409    67/100    3.61    3.00     0.14     0.59    233   -12.99    176   -10.50      0        -      0        -      0        -       212      138   -14.53   -10.59
   2200.0    406    64/100    3.24    3.37     0.12     0.54    228    -6.97    178    -4.60      0        -      0        -      0        -       236      133    -8.19    -4.83
   2300.0    406    67/100    3.24    3.56     0.15     0.49    228    -2.61    178    -1.75      0        -      0        -      0        -       278      133    -3.26    -1.73
   2400.0    408    74/100    3.54    3.34     0.17     0.44    228    -1.11    180    -1.15      0        -      0        -      0        -       307      133    -1.33    -1.03
   2500.0    409    77/100    3.73    3.16     0.17     0.43    228    -0.86    181    -1.04      0        -      0        -      0        -       323      133    -0.99    -0.91
