## M2  cols and spreads from the branch positions reader (tank: columns whose centres are inside the circle; 100 live columns)
seed	t	r37 n	r37 cols	r37 x sd	r37 z sd	r36 n	r36 cols	r36 x sd	r36 z sd
1	5000	751	87/100	2.89	3.66	307	99/100	6.10	1.69
1	15000	1518	63/100	3.82	3.62	576	98/100	6.73	1.94
1	30000	681	77/100	3.89	3.43	1154	100/100	7.28	1.81
2	5000	1456	79/100	2.97	4.31	1100	100/100	7.49	2.01
2	15000	1861	102/100	3.35	3.34	1535	100/100	7.38	2.22
2	30000	1557	88/100	3.25	3.79	1623	100/100	6.90	2.01
3	5000	376	87/100	3.66	3.08	786	100/100	10.24	2.06
3	15000	1405	104/100	3.18	3.11	1209	100/100	9.81	1.83
3	30000	925	85/100	3.53	3.67	1342	100/100	7.28	1.81
4	5000	1719	79/100	3.85	3.70	1352	100/100	8.21	1.89
4	15000	1677	94/100	3.54	3.18	1388	100/100	9.35	2.08
4	30000	1660	70/100	3.93	3.49	1329	100/100	7.28	2.14
5	5000	571	84/100	3.19	3.71	577	98/100	6.78	2.16
5	15000	1019	92/100	3.79	3.08	1388	100/100	6.93	2.21
5	30000	1831	88/100	2.61	2.89	1650	100/100	8.72	1.79

## M2  branch cols, every 1000 s, r37
t	s1	s2	s3	s4	s5
1000	61/100	79/100	62/100	83/100	93/100
2000	67/100	103/100	83/100	95/100	75/100
3000	94/100	90/100	66/100	79/100	101/100
4000	88/100	93/100	100/100	89/100	100/100
5000	87/100	79/100	87/100	79/100	84/100
6000	77/100	94/100	100/100	98/100	90/100
7000	75/100	105/100	83/100	97/100	76/100
8000	93/100	111/100	77/100	94/100	68/100
9000	77/100	95/100	78/100	114/100	73/100
10000	85/100	93/100	96/100	107/100	69/100
11000	76/100	88/100	99/100	92/100	79/100
12000	69/100	86/100	89/100	100/100	70/100
13000	65/100	90/100	87/100	96/100	90/100
14000	70/100	99/100	80/100	93/100	112/100
15000	63/100	102/100	104/100	94/100	92/100
16000	84/100	96/100	101/100	98/100	78/100
17000	92/100	103/100	107/100	108/100	78/100
18000	96/100	95/100	83/100	94/100	68/100
19000	108/100	108/100	78/100	96/100	82/100
20000	92/100	97/100	72/100	90/100	94/100
21000	104/100	84/100	81/100	96/100	89/100
22000	86/100	83/100	82/100	81/100	112/100
23000	83/100	81/100	90/100	82/100	102/100
24000	89/100	69/100	90/100	61/100	105/100
25000	88/100	92/100	98/100	75/100	85/100
26000	84/100	98/100	107/100	80/100	97/100
27000	92/100	103/100	108/100	100/100	68/100
28000	98/100	102/100	118/100	106/100	71/100
29000	94/100	90/100	88/100	85/100	59/100
30000	77/100	88/100	85/100	70/100	88/100

## M3  nearest-neighbour median, raw (same time, whatever the abundance)
seed	t	r37 n	r37 nn h	r37 nn 3d	r36 n	r36 nn h	r36 nn 3d	ratio nn h	ratio nn 3d	n ratio
1	5000	751	0.11	0.52	307	0.27	1.14	0.407	0.456	2.446
1	30000	681	0.09	0.41	1154	0.13	0.66	0.692	0.621	0.590
2	5000	1456	~0.04	~0.31	1100	0.14	0.70	0.286	0.443	1.324
2	30000	1557	~0.05	~0.34	1623	~0.11	~0.57	0.455	0.596	0.959
3	5000	376	0.12	0.84	786	0.17	0.82	0.706	1.024	0.478
3	30000	925	0.10	0.27	1342	~0.12	~0.63	0.833	0.429	0.689
4	5000	1719	~0.05	~0.22	1352	~0.13	~0.73	0.385	0.301	1.271
4	30000	1660	~0.04	~0.18	1329	~0.13	~0.70	0.308	0.257	1.249
5	5000	571	0.09	0.65	577	0.18	0.97	0.500	0.670	0.990
5	30000	1831	~0.05	~0.23	1650	~0.11	~0.59	0.455	0.390	1.110

## M3  nearest-neighbour median at MATCHED abundance: r37 anchored at the named time, and the r36 sample of the same seed nearest in time whose n is within 10% of r37's n at that time
seed	anchor t	r37 t	r37 n	r37 nn h	r37 nn 3d	r36 t	r36 n	r36 nn h	r36 nn 3d	n gap	ratio nn h	ratio nn 3d
1	5000	5000	751	0.11	0.52	17800	676	0.17	0.82	-0.100	0.647	0.634
1	15000	15000	1518	~0.06	~0.27	no r36 sample within 10% of n=1518
1	30000	30000	681	0.09	0.41	19900	723	0.18	0.80	0.062	0.500	0.512
2	5000	5000	1456	~0.04	~0.31	6800	1315	~0.12	~0.64	-0.097	0.333	0.484
2	15000	15000	1861	~0.05	~0.22	no r36 sample within 10% of n=1861
2	30000	30000	1557	~0.05	~0.34	30000	1623	~0.11	~0.57	0.042	0.455	0.596
3	5000	5000	376	0.12	0.84	2500	400	0.22	0.98	0.064	0.545	0.857
3	15000	15000	1405	~0.08	~0.33	18000	1283	~0.13	~0.65	-0.087	0.615	0.508
3	30000	30000	925	0.10	0.27	8800	1016	0.15	0.72	0.098	0.667	0.375
4	5000	5000	1719	~0.05	~0.22	no r36 sample within 10% of n=1719
4	15000	15000	1677	~0.06	~0.20	no r36 sample within 10% of n=1677
4	30000	30000	1660	~0.04	~0.18	no r36 sample within 10% of n=1660
5	5000	5000	571	0.09	0.65	5000	577	0.18	0.97	0.011	0.500	0.670
5	15000	15000	1019	0.06	0.32	11400	1099	0.14	0.68	0.079	0.429	0.471
5	30000	30000	1831	~0.05	~0.23	30000	1650	~0.11	~0.59	-0.099	0.455	0.390
