== r37-s1  (**Ended:** budget reached.)
  t	alive	cols	x sd	p0	p1	p2	p3	jnt inh	mean m/s	diverged	wraps	crowded	audit	mat resid	depth m	depth sd	jointed	mat blk	food %	absorpt
  26000	1316	100/100	9.08	334	312	350	320	2	0.0873	19	1428	0	0.0000%	0	-19.2	12.84	3	114086	5.89%	126
  27000	1316	100/100	7.07	293	345	386	292	1	0.0853	19	1256	0	0.0000%	0	-19.7	13.07	1	111025	5.82%	136
  28000	1351	100/100	6.99	354	417	263	317	0	0.0753	20	1768	0	0.0000%	0	-19.5	11.81	5	108911	5.5%	138
  29000	1337	100/100	7.83	387	252	393	305	0	0.0836	20	1564	0	0.0000%	0	-19.3	12.55	2	117077	5.43%	118
  30000	1342	100/100	7.28	278	318	315	431	0	0.0838	20	1260	0	0.0000%	0	-19.8	12.57	2	121071	5.88%	131
== r36-s4  (**Ended:** budget reached.)
  t	alive	cols	x sd	p0	p1	p2	p3	jnt inh	mean m/s	diverged	wraps	crowded	audit	mat resid	depth m	depth sd	jointed	mat blk	food %	absorpt
  1000	364	96/100	9.10	65	102	83	114	97	0.0802	0	507	0	0.0000%	0	-11.2	7.01	102	36305	1.12%	2
  2000	549	100/100	7.18	126	141	158	124	90	0.0845	1	627	0	0.0000%	0	-14.8	9.91	95	61707	1.42%	3
  3000	756	100/100	7.33	177	212	192	175	67	0.0828	2	871	0	0.0000%	0	-18	12.14	71	81210	4.04%	199
  4000	1165	100/100	8.22	282	289	314	280	57	0.0874	2	1296	0	0.0000%	0	-22.6	15.95	61	129452	11.1%	566
  5000	1352	100/100	8.21	347	338	309	358	47	0.0852	3	1856	0	0.0000%	0	-22.4	15.71	51	137253	13.48%	700
  6000	1343	100/100	7.74	348	315	301	379	32	0.0835	5	1502	0	0.0000%	0	-22.1	14.97	35	129464	14%	653
  7000	1419	100/100	7.34	410	344	332	333	20	0.0865	5	1754	0	0.0000%	0	-21.9	14.81	21	121339	13.84%	697
  8000	1357	100/100	7.34	303	323	408	323	16	0.0857	5	1361	0	0.0000%	0	-22	13.22	17	105963	13.15%	525
  9000	1331	100/100	7.83	424	243	369	295	10	0.0798	5	1457	0	0.0000%	0	-21.5	13.94	11	98974	12.26%	468
  10000	1305	100/100	7.77	305	399	278	323	5	0.0862	5	1498	0	0.0000%	0	-21.5	12.92	5	95944	11.88%	439
  11000	1299	100/100	7.93	361	319	315	304	1	0.0869	6	1290	0	0.0000%	0	-20.3	13.38	1	105938	10.64%	328
  12000	1327	100/100	7.81	352	315	311	349	0	0.0789	6	1552	1	0.0000%	0	-19.9	12.93	0	110011	10.25%	361
  13000	1353	100/100	6.35	416	362	320	255	0	0.0863	6	1427	0	0.0000%	0	-20.4	13.07	0	127586	8.87%	308
  14000	1387	100/100	8.10	268	398	305	416	0	0.0862	6	1541	0	0.0000%	0	-21.6	12.82	0	126557	7.86%	301
  15000	1389	100/100	9.35	375	327	381	306	0	0.077	6	2058	0	0.0000%	0	-22.3	13.38	0	128943	7.2%	259
  16000	1356	100/100	7.01	359	335	280	382	0	0.0829	6	1504	0	0.0000%	0	-21.2	13.71	0	126917	6.03%	246
  17000	1365	100/100	7.22	343	378	372	272	0	0.084	6	1388	0	0.0000%	0	-21.7	13.18	0	119849	6.06%	218
  18000	1349	100/100	6.80	304	340	413	292	0	0.0806	6	1415	0	0.0000%	0	-21.8	13.55	0	116405	6.03%	223
  19000	1356	100/100	7.92	346	298	419	293	0	0.0796	6	1450	0	0.0000%	0	-21.2	14.48	0	121361	6.05%	219
  20000	1358	100/100	7.93	355	297	384	322	0	0.0827	6	1578	0	0.0000%	0	-20.3	12.74	0	127035	6.11%	229
  21000	1354	100/100	11.18	320	355	328	351	0	0.0823	6	1350	0	0.0000%	0	-20.8	13.4	0	123269	6.37%	251
  22000	1373	100/100	7.91	352	339	373	309	0	0.0871	6	1501	0	0.0000%	0	-21.4	13.73	0	128757	6.03%	251
  23000	1345	100/100	7.50	267	360	293	425	0	0.0846	6	1535	0	0.0000%	0	-21.3	13.47	0	121727	6.72%	234
  24000	1359	100/100	6.92	393	265	369	332	0	0.0798	6	1296	0	0.0000%	0	-22	12.6	0	118570	6.79%	221
  25000	1354	100/100	8.82	263	377	286	428	0	0.0822	6	1282	0	0.0000%	0	-23.2	13.23	0	114610	7.3%	245
  26000	1334	100/100	9.42	344	342	333	315	0	0.086	6	1486	0	0.0000%	0	-21.3	12.69	0	110807	7.08%	215
  27000	1337	100/100	9.27	276	384	290	387	0	0.0781	6	1399	0	0.0000%	0	-21.9	13.26	0	110648	7.1%	195
  28000	1318	100/100	7.52	396	315	323	284	0	0.0801	6	1342	0	0.0000%	0	-21.9	12.63	0	109916	7.16%	206
  29000	1317	100/100	7.93	330	308	358	321	0	0.0872	6	1441	0	0.0000%	0	-20.9	13.04	0	115627	6.94%	234
  30000	1329	100/100	7.28	321	283	377	348	0	0.0838	6	1496	0	0.0000%	0	-21.1	13.27	0	120579	6.41%	196
== r36-s5  (**Ended:** budget reached.)
  t	alive	cols	x sd	p0	p1	p2	p3	jnt inh	mean m/s	diverged	wraps	crowded	audit	mat resid	depth m	depth sd	jointed	mat blk	food %	absorpt
  1000	181	90/100	7.11	49	28	61	43	118	0.0755	6	340	0	0.0000%	0	-13.1	6.76	122	15835	0%	0
  2000	227	88/100	7.38	55	46	55	71	128	0.0801	9	442	0	0.0000%	0	-15.1	8.46	133	23481	0.2%	4
  3000	227	89/100	8.22	75	47	62	43	92	0.0819	10	344	0	0.0000%	0	-16.2	11.68	94	27525	6.9%	44
  4000	323	96/100	5.81	95	99	69	60	104	0.08	10	403	0	0.0000%	0	-14.7	11.69	105	35182	9.94%	47
  5000	577	98/100	6.78	113	185	135	144	78	0.0868	11	667	0	0.0000%	0	-17.9	12.9	79	43018	13.19%	139
  6000	623	100/100	10.43	144	173	149	157	44	0.0825	11	730	0	0.0000%	0	-15.6	10.33	45	56422	13.59%	101
  7000	732	100/100	6.35	216	208	122	186	23	0.0799	11	794	0	0.0000%	0	-17.6	11.71	23	60975	15.36%	123
  8000	817	100/100	7.13	258	176	198	185	22	0.0821	11	1193	0	0.0000%	0	-19.4	10.86	23	59058	15.03%	99
  9000	942	100/100	8.70	223	238	225	256	16	0.0857	12	1082	0	0.0000%	0	-19.8	12.05	16	53405	13.29%	129
  10000	1056	99/100	6.99	297	272	285	202	11	0.078	12	1051	0	0.0000%	0	-19.6	12.13	11	64016	10.66%	102
  11000	1064	100/100	7.44	242	250	297	275	21	0.087	13	1247	0	0.0000%	0	-18.2	11.71	21	82136	8.26%	76
  12000	1180	100/100	7.10	341	188	375	276	29	0.0861	13	1224	0	0.0000%	0	-19.1	12.11	29	85355	7.9%	46
  13000	1246	100/100	8.04	342	340	272	292	11	0.0815	16	1279	0	0.0000%	0	-18	12.32	11	92198	6.77%	77
  14000	1297	100/100	6.98	411	262	312	312	12	0.0821	16	1331	0	0.0000%	0	-18	13.3	14	116131	5.98%	59
  15000	1388	100/100	6.93	293	400	366	329	11	0.0838	16	1509	0	0.0000%	0	-18.2	12.57	12	116428	5.45%	61
  16000	1461	100/100	7.98	331	388	381	361	10	0.0852	16	1541	0	0.0000%	0	-19.3	12.73	11	124050	5.15%	75
  17000	1541	100/100	8.13	376	410	333	422	5	0.0807	16	1666	0	0.0000%	0	-19.7	14.1	6	130605	5.08%	65
  18000	1604	100/100	6.47	427	392	283	502	13	0.0856	16	1656	0	0.0000%	0	-19	13.44	14	134695	5.25%	62
  19000	1644	100/100	7.14	511	327	404	402	6	0.0825	16	1864	0	0.0000%	0	-19.3	14	6	147829	4.55%	54
  20000	1607	100/100	8.32	443	365	460	339	4	0.0894	17	2006	0	0.0000%	0	-20.5	13.06	4	141341	4.81%	54
  21000	1666	100/100	8.61	458	372	442	394	3	0.0846	17	1658	0	0.0000%	0	-20.5	13.21	4	133986	5.23%	67
  22000	1657	100/100	7.89	470	393	400	394	3	0.0841	17	2017	0	0.0000%	0	-20.8	13.79	4	135523	4.96%	74
  23000	1670	100/100	7.68	425	366	407	472	1	0.0877	17	1825	0	0.0000%	0	-21	13.47	1	127840	5.49%	75
  24000	1659	100/100	6.90	350	423	340	546	1	0.0854	17	1768	0	0.0000%	0	-21.8	14.01	1	121318	5.5%	83
  25000	1669	100/100	7.92	453	349	495	372	1	0.0812	17	1758	0	0.0000%	0	-21.5	14.07	1	124454	5.39%	83
  26000	1656	100/100	8.68	389	451	352	464	1	0.0845	17	1899	0	0.0000%	0	-20.8	13.58	2	126052	4.88%	73
  27000	1695	100/100	9.13	394	442	398	461	0	0.0886	17	1752	0	0.0000%	0	-20.1	14.08	0	126206	5.44%	86
  28000	1636	100/100	8.63	356	463	369	448	0	0.0868	17	1842	0	0.0000%	0	-20	14.02	0	140978	5.47%	93
  29000	1669	100/100	7.38	376	476	428	389	0	0.0835	17	1859	0	0.0000%	0	-21.2	14.31	0	139018	5.75%	83
  30000	1650	100/100	8.72	475	372	450	353	0	0.0853	17	1669	0	0.0000%	0	-21.9	14.13	0	131818	5.49%	80
