## Radial histogram, r37 (eight shells of EQUAL AREA, so a uniform disc reads 0.125 in every one; r/R bounds sqrt(k/8))
arm	t	n	shell0	shell1	shell2	shell3	shell4	shell5	shell6	shell7	f0	f1	f2	f3	f4	f5	f6	f7	mean r	sd r	median r	mean R-r (m to glass)	n within 0.5 m of glass	share within 0.5 m	n within 1 m	share within 1 m	mean depth	sd depth
r37-s1	5000	751	15	69	61	46	49	74	95	342	0.020	0.092	0.081	0.061	0.065	0.099	0.126	0.455	4.619	1.087	5.197	1.023	386	0.514	489	0.651	-28.17	7.73
r37-s1	15000	1518	2	4	1	3	1	50	491	966	0.001	0.003	0.001	0.002	0.001	0.033	0.323	0.636	5.318	0.302	5.390	0.323	1234	0.813	1504	0.991	-1.44	1.71
r37-s1	30000	681	2	11	7	6	10	46	201	398	0.003	0.016	0.010	0.009	0.015	0.068	0.295	0.584	5.172	0.546	5.336	0.470	489	0.718	633	0.930	-12.84	20.27
r37-s2	5000	1456	5	5	13	20	34	79	276	1024	0.003	0.003	0.009	0.014	0.023	0.054	0.190	0.703	5.272	0.491	5.437	0.370	1170	0.804	1355	0.931	-5.82	5.59
r37-s2	15000	1861	7	13	47	42	73	172	532	975	0.004	0.007	0.025	0.023	0.039	0.092	0.286	0.524	5.110	0.606	5.297	0.532	1231	0.661	1646	0.884	-5.95	10.13
r37-s2	30000	1557	4	25	79	94	104	135	294	822	0.003	0.016	0.051	0.060	0.067	0.087	0.189	0.528	4.970	0.738	5.312	0.672	959	0.616	1206	0.775	-16.75	12.07
r37-s3	5000	376	9	16	21	11	17	33	63	206	0.024	0.043	0.056	0.029	0.045	0.088	0.168	0.548	4.880	1.010	5.341	0.762	226	0.601	294	0.782	-40.73	19.96
r37-s3	15000	1405	20	45	141	226	160	176	238	399	0.014	0.032	0.100	0.161	0.114	0.125	0.169	0.284	4.501	0.948	4.725	1.141	505	0.359	740	0.527	-54.14	8.88
r37-s3	30000	925	3	4	4	11	54	184	278	387	0.003	0.004	0.004	0.012	0.058	0.199	0.301	0.418	5.074	0.506	5.201	0.568	503	0.544	794	0.858	-1.42	6.02
r37-s4	5000	1719	4	5	5	8	14	59	355	1269	0.002	0.003	0.003	0.005	0.008	0.034	0.207	0.738	5.340	0.382	5.445	0.301	1473	0.857	1665	0.969	-2.02	4.28
r37-s4	15000	1677	9	9	37	81	213	273	356	699	0.005	0.005	0.022	0.048	0.127	0.163	0.212	0.417	4.933	0.665	5.150	0.709	844	0.503	1217	0.726	-56.18	8.74
r37-s4	30000	1660	1	2	6	5	4	15	288	1339	0.001	0.001	0.004	0.003	0.002	0.009	0.173	0.807	5.390	0.271	5.449	0.252	1546	0.931	1637	0.986	-1.83	5.91
r37-s5	5000	571	5	17	34	34	34	38	83	326	0.009	0.030	0.060	0.060	0.060	0.067	0.145	0.571	4.939	0.888	5.372	0.703	374	0.655	435	0.762	-18.86	14.43
r37-s5	15000	1019	3	18	32	38	34	48	207	639	0.003	0.018	0.031	0.037	0.033	0.047	0.203	0.627	5.124	0.685	5.393	0.518	750	0.736	878	0.862	-15.13	8.96
r37-s5	30000	1831	8	76	183	201	149	190	273	751	0.004	0.042	0.100	0.110	0.081	0.104	0.149	0.410	4.672	0.932	5.072	0.970	872	0.476	1137	0.621	-46.06	4.55

## Radial drift, r37: for every body present in two consecutive samples (100 s apart), the change in its distance from the axis, binned by the starting radius. Positive is outward. Averaged over the whole run.
arm	r bin (m)	body pairs	mean dr (m per 100 s)	median dr	share moving outward
r37-s1	0.00-1.00	302	3.1078	3.6980	0.960
r37-s1	1.00-2.00	1750	2.8073	3.4304	0.951
r37-s1	2.00-3.00	8389	2.1768	2.5585	0.923
r37-s1	3.00-4.00	21927	1.2527	1.5087	0.896
r37-s1	4.00-5.00	64836	0.1763	0.2774	0.672
r37-s1	5.00-5.64	178800	-0.3002	-0.0433	0.339
r37-s2	0.00-1.00	1007	2.4296	2.5069	0.888
r37-s2	1.00-2.00	4117	2.2768	2.7911	0.892
r37-s2	2.00-3.00	17790	1.8894	2.4748	0.860
r37-s2	3.00-4.00	37259	1.1022	1.4419	0.834
r37-s2	4.00-5.00	84987	0.1437	0.3140	0.662
r37-s2	5.00-5.64	262180	-0.3367	-0.0696	0.332
r37-s3	0.00-1.00	503	3.5024	4.4260	0.974
r37-s3	1.00-2.00	2464	2.6451	3.3211	0.922
r37-s3	2.00-3.00	9704	1.9568	2.4561	0.883
r37-s3	3.00-4.00	23104	1.1024	1.3551	0.856
r37-s3	4.00-5.00	62361	0.1043	0.2401	0.642
r37-s3	5.00-5.64	154836	-0.3032	-0.0565	0.332
r37-s4	0.00-1.00	745	2.7896	3.1941	0.932
r37-s4	1.00-2.00	4210	2.3183	2.9138	0.887
r37-s4	2.00-3.00	17656	1.7912	2.3954	0.846
r37-s4	3.00-4.00	40744	1.0597	1.3524	0.828
r37-s4	4.00-5.00	93377	0.1174	0.2819	0.646
r37-s4	5.00-5.64	268795	-0.3312	-0.0680	0.337
r37-s5	0.00-1.00	444	3.2890	3.9226	0.993
r37-s5	1.00-2.00	3299	2.6775	3.4315	0.921
r37-s5	2.00-3.00	15742	1.9982	2.5772	0.870
r37-s5	3.00-4.00	32291	1.1480	1.4868	0.840
r37-s5	4.00-5.00	74240	0.1494	0.2977	0.671
r37-s5	5.00-5.64	268103	-0.3020	-0.0478	0.353

## Depth from positions.jsonl (mean and population sd of y), both rounds
arm	t	n	mean depth	sd depth
r37-s1	5000	751	-28.17	7.73
r37-s1	15000	1518	-1.44	1.71
r37-s1	30000	681	-12.84	20.27
r37-s2	5000	1456	-5.82	5.59
r37-s2	15000	1861	-5.95	10.13
r37-s2	30000	1557	-16.75	12.07
r37-s3	5000	376	-40.73	19.96
r37-s3	15000	1405	-54.14	8.88
r37-s3	30000	925	-1.42	6.02
r37-s4	5000	1719	-2.02	4.28
r37-s4	15000	1677	-56.18	8.74
r37-s4	30000	1660	-1.83	5.91
r37-s5	5000	571	-18.86	14.43
r37-s5	15000	1019	-15.13	8.96
r37-s5	30000	1831	-46.06	4.55
r36-s1	5000	307	-18.12	10.49
r36-s1	15000	576	-17.98	10.26
r36-s1	30000	1154	-17.28	11.39
r36-s2	5000	1100	-17.39	11.94
r36-s2	15000	1535	-18.59	12.08
r36-s2	30000	1623	-20.22	13.45
r36-s3	5000	786	-16.88	11.09
r36-s3	15000	1209	-17.90	12.34
r36-s3	30000	1342	-19.76	12.57
r36-s4	5000	1352	-22.37	15.71
r36-s4	15000	1388	-22.32	13.37
r36-s4	30000	1329	-21.13	13.26
r36-s5	5000	577	-17.93	12.89
r36-s5	15000	1388	-18.21	12.56
r36-s5	30000	1650	-21.87	14.13

## Radial timeline, r37: mean distance from the axis and the share of the crowd within 1 m of the glass, every 1000 s (R = 5.642 m)
t	s1 mean r	s1 within 1m	s2 mean r	s2 within 1m	s3 mean r	s3 within 1m	s4 mean r	s4 within 1m	s5 mean r	s5 within 1m
1000	4.810	0.705	4.399	0.522	4.979	0.851	4.710	0.721	4.644	0.625
2000	4.962	0.803	4.514	0.545	4.909	0.737	4.950	0.802	5.163	0.887
3000	4.788	0.724	4.865	0.736	5.181	0.892	5.177	0.895	4.034	0.412
4000	4.960	0.779	4.989	0.773	4.730	0.745	4.843	0.664	5.029	0.810
5000	4.619	0.651	5.272	0.931	4.880	0.782	5.340	0.969	4.939	0.762
6000	5.026	0.793	4.803	0.688	4.728	0.706	4.518	0.569	5.039	0.784
7000	5.097	0.825	5.200	0.886	4.727	0.651	5.231	0.924	5.232	0.939
8000	4.692	0.626	4.457	0.520	4.988	0.827	4.796	0.707	5.406	0.983
9000	5.103	0.852	5.055	0.814	5.078	0.854	4.409	0.517	5.199	0.875
10000	4.994	0.787	5.095	0.861	4.945	0.798	4.870	0.702	5.368	0.990
11000	5.279	0.927	5.298	0.956	4.973	0.746	5.283	0.936	5.032	0.818
12000	5.180	0.869	5.035	0.846	4.608	0.589	4.824	0.717	5.328	0.985
13000	5.340	0.968	5.241	0.964	4.954	0.752	5.138	0.928	4.970	0.787
14000	5.049	0.778	5.123	0.877	5.026	0.784	4.370	0.419	4.042	0.365
15000	5.318	0.991	5.110	0.884	4.501	0.527	4.933	0.726	5.124	0.862
16000	4.890	0.708	4.893	0.752	4.838	0.712	4.437	0.504	5.307	0.980
17000	5.168	0.861	4.246	0.334	4.479	0.528	3.725	0.312	5.001	0.794
18000	4.528	0.508	4.790	0.698	5.111	0.851	4.957	0.753	5.170	0.960
19000	4.717	0.672	3.434	0.207	4.959	0.779	4.988	0.796	4.506	0.581
20000	5.000	0.776	4.771	0.688	5.241	0.950	4.870	0.709	4.875	0.699
21000	4.495	0.647	5.146	0.947	5.038	0.828	5.036	0.831	4.759	0.704
22000	4.808	0.675	4.863	0.733	5.210	0.923	4.991	0.800	3.921	0.328
23000	5.083	0.870	5.082	0.910	4.694	0.604	4.863	0.676	4.620	0.627
24000	4.862	0.747	5.123	0.835	5.131	0.873	5.431	0.995	4.397	0.588
25000	4.883	0.702	4.772	0.702	4.783	0.712	4.807	0.662	4.948	0.742
26000	4.970	0.797	4.990	0.780	4.761	0.661	5.269	0.910	5.202	0.932
27000	4.734	0.656	4.485	0.547	4.834	0.663	4.542	0.573	5.239	0.894
28000	4.783	0.689	4.881	0.725	3.698	0.332	4.953	0.786	5.020	0.775
29000	4.470	0.538	5.029	0.767	4.839	0.712	5.119	0.871	5.407	0.997
30000	5.172	0.930	4.970	0.775	5.074	0.858	5.390	0.986	4.672	0.621
