# runs\r47-s2\2026-09-23-232452-7a7f5d41\stats.jsonl 3000 rows
t	alive	births	deaths	abs	absInh	pho	jnt	jntInh	invest	bfrac	age	gestB	gestHeld	uptlim	expo	detJ	matLock	height	stillb	trick	pool	ovl/b	audit	matRes	mspd	spdJ	pace
5000	1431	4312	3019	11	8	1420	660	632	0.509	0.9885	1292	None	None	0.8099	1.084	3.276e+05	1933	-4.161	55	65	3	0.075	-2.293e-06	-4.796e-07	0.04786	0.04981	
10000	2447	9281	7143	10	10	2442	561	515	0.3466	0.9825	1366	None	None	0.7856	1.42	3.01e+05	2273	-6.107	130	236	20	0.383	-3.199e-06	-2.463e-07	0.0496	0.03872	1.97
15000	3301	16554	13733	2	0	3299	361	312	0.305	0.9885	1509	None	None	0.6663	1.57	3.323e+05	2661	-8.247	218	407	30	3.351	-7.145e-06	-1.345e-06	0.1035	0.09289	1.63
20000	3933	24564	21279	3	0	3926	131	96	0.346	0.9891	1645	None	None	0.6931	1.721	3.311e+05	2984	-8.802	241	575	44	10.05	-5.082e-06	-1.518e-06	0.07862	0.06346	1.56
25000	5038	35081	30867	4	2	5024	111	81	0.4153	0.9926	1733	None	None	0.6012	1.821	3.754e+05	3529	-12.13	263	751	62	12.49	1.541e-07	-1.708e-06	0.0697	0.08046	0.91
30000	5602	45675	41063	4	1	5584	82	46	0.4762	0.9944	1891	None	None	0.6909	1.874	3.707e+05	3949	-10.7	278	917	78	30.89	3.952e-06	-1.411e-06	0.07709	0.0912	1.01
