# runs\r48-s2\2026-09-24-115119-e5a30c15\stats.jsonl 1369 rows
t	alive	births	deaths	abs	absInh	pho	jnt	jntInh	invest	bfrac	age	gestB	gestHeld	uptlim	expo	detJ	matLock	height	stillb	trick	pool	ovl/b	audit	matRes	mspd	spdJ	pace
2500	2862	5957	3140	10	5	2862	1083	1030	0.2618	0.9392	1208	796	1.669e+04	0.8221	1.023	4.314e+05	3216	-4.617	99	0	0	5.255	-1.32e-05	-4.451e-07	0.05767	0.04265	
5000	2381	9443	7172	11	1	2372	889	854	0.2598	0.9464	1383	1282	1.292e+04	0.8355	1.07	4.884e+05	2118	-4.878	223	65	3	1.285	-1.589e-05	-3.302e-07	0.05696	0.04666	1.44
7500	3018	13468	10646	8	0	3012	724	661	0.2469	0.9484	1446	1783	1.451e+04	0.8044	1.139	4.208e+05	2218	-5.893	408	151	15	0.845	-1.682e-05	-4.611e-07	0.06587	0.04833	1.40
10000	3621	17896	14556	24	11	3615	617	546	0.2272	0.961	1602	2275	1.763e+04	0.8208	1.215	3.997e+05	2416	-6.719	638	236	20	0.441	-1.61e-05	-4.983e-07	0.05236	0.02752	1.02
12500	4203	23528	19702	29	14	4195	665	581	0.2045	0.9495	1526	2895	1.713e+04	0.6917	1.319	4.104e+05	2570	-8.928	867	332	25	0.776	-1.513e-05	-6.393e-07	0.06142	0.05035	0.98
13690	4583	26681	22504	35	19	4578	680	596	0.1901	0.9565	1511	3158	1.745e+04	0.7238	1.402	4.114e+05	2680	-8.346	988	361	29	2.967	-8.508e-06	-7.166e-07	0.1416	0.151	0.87
