# runs\r47-s3\2026-09-24-022531-7a7f5d41\stats.jsonl 3000 rows
t	alive	births	deaths	abs	absInh	pho	jnt	jntInh	invest	bfrac	age	gestB	gestHeld	uptlim	expo	detJ	matLock	height	stillb	trick	pool	ovl/b	audit	matRes	mspd	spdJ	pace
5000	718	1575	1032	4	2	715	606	587	0.556	0.9926	1915	None	None	0.8247	0.9778	1.565e+05	1421	-3.639	43	75	11	0	4.543e-06	1.177e-07	0.03912	0.03928	
10000	915	3192	2615	3	0	912	671	652	0.727	0.9952	1465	None	None	0.8124	0.9535	1.527e+05	1244	-3.884	99	238	24	0.001	4.841e-06	-7.849e-08	0.0435	0.0468	2.02
15000	1298	5371	4565	3	0	1289	853	834	0.8107	0.9995	1656	None	None	0.7848	0.9925	1.62e+05	1347	-4.044	213	392	37	0	-1.04e-05	-1.313e-07	0.05426	0.05071	1.86
20000	1713	8402	7361	6	3	1708	1084	1062	0.822	0.9982	1586	None	None	0.7776	1.052	1.733e+05	1493	-5.074	461	572	54	0.703	-1.381e-05	-1.848e-07	0.0628	0.0614	1.73
25000	2169	11925	10597	3	0	2144	1311	1276	0.7982	0.9985	1826	None	None	0.8193	1.117	1.928e+05	1796	-4.365	732	741	67	0.019	-2.265e-05	-1.419e-07	0.02504	0.02819	1.82
30000	2501	15992	14492	7	3	2380	1422	1377	0.7841	0.9989	1778	None	None	0.8325	1.156	2.169e+05	2041	-4.336	1095	901	84	0.361	-1.06e-05	-8.552e-08	0.076	0.0757	1.45
