# runs\r48-s1\2026-09-24-115115-e5a30c15\stats.jsonl 3000 rows
t	alive	births	deaths	abs	absInh	pho	jnt	jntInh	invest	bfrac	age	gestB	gestHeld	uptlim	expo	detJ	matLock	height	stillb	trick	pool	ovl/b	audit	matRes	mspd	spdJ	pace
2500	1776	2586	864	15	8	1776	377	372	0.3755	0.8768	996.6	508	1.334e+04	0.8979	0.988	2.163e+05	2384	-4.342	45	0	0	4.342	1.775e-06	-7.185e-07	0.05126	0.04692	
5000	1874	5176	3435	52	34	1834	174	159	0.3956	0.887	1221	1208	1.7e+04	0.8618	1.16	3.305e+05	2066	-5.209	111	79	10	0.462	-5.018e-07	-1.431e-06	0.05059	0.05798	2.46
7500	2539	8723	6396	51	39	2499	46	39	0.4349	0.9239	1265	1948	1.568e+04	0.7322	1.31	3.521e+05	2210	-7.725	179	158	16	1.092	-4.223e-06	-2.985e-06	0.06024	0.05505	2.16
10000	2859	12623	10058	12	6	2852	11	3	0.5042	0.9457	1570	2475	1.651e+04	0.7595	1.383	3.601e+05	2207	-8.075	252	240	24	0.109	-2.961e-06	-3.629e-06	0.07077	0.06797	1.84
12500	3527	17039	13889	8	2	3521	3	0	0.4274	0.9398	1574	3032	1.712e+04	0.7828	1.49	3.645e+05	2589	-8.31	343	323	33	0.515	-1.96e-07	-3.77e-06	0.04926	0.05359	1.82
15000	3832	22222	18860	26	19	3829	2	0	0.2632	0.9416	1661	3645	1.745e+04	0.678	1.597	4.042e+05	2795	-9.825	451	416	43	2.301	4.545e-06	-4.095e-06	0.09579	0.007891	1.31
17500	3973	28144	24726	16	9	3968	5	0	0.1663	0.9343	1628	4235	1.573e+04	0.7297	1.688	4.207e+05	2744	-9.714	618	501	53	8.817	1.007e-05	-4.125e-06	0.09996	0.06585	1.23
20000	5003	35125	30764	34	22	4997	5	0	0.1036	0.9441	1583	4755	1.617e+04	0.7151	1.768	4.467e+05	3050	-11.06	858	588	57	12.86	2.84e-05	-4.166e-06	0.06354	0.07991	1.02
22500	6242	44163	38644	56	30	6237	2	0	0.08806	0.9413	1569	5377	1.776e+04	0.6684	1.821	4.736e+05	3369	-12.22	1127	669	67	21.98	5.434e-05	-4.293e-06	0.07502	0.03733	0.89
25000	7581	54036	47266	38	24	7581	0	0	0.08216	0.9563	1735	5998	2.021e+04	0.6862	1.849	4.816e+05	3771	-12.46	1480	757	80	55.1	9.276e-05	-4.594e-06	0.08586	0	0.60
27500	8363	64546	57071	98	77	8358	3	1	0.07839	0.9612	1894	6589	2.214e+04	0.6909	1.868	4.939e+05	3856	-12.27	1876	834	91	43.29	0.0001658	-4.27e-06	0.1043	0.02356	0.62
30000	8618	74681	67036	121	95	8615	3	0	0.07747	0.962	1998	7234	2.317e+04	0.7237	1.882	4.809e+05	3927	-11.64	2299	919	99	88.9	0.0002197	-4.519e-06	0.1002	0.1453	0.47
