clause	seed	last_t	alive	births	gestation_births	upt_lim	trickle_spawns	pool_spawns	founders_by_src	pool	build_markers	manifest_status	baseline	header_tokens	bud_rows	children	per_child	by_cell	first_at	held	expressed	share	budx	stillbirths	self_overlap_stillbirths	absorptive_bud_rows	bud_roots	roots_with_living	living	living_from	short	best_root	best_root_born	best_living	best_stomachs	best_mixotrophs	at	gestated_J	held_in_accounts_J	gm1_child_rows	early_window	late_window	early_share	early_children	late_share	late_children	early_share_all_rows	late_share_all_rows	gestation_births_per_death	lump_births_per_death	gestation_deaths	lump_births	lump_deaths	mean_birth_investment	baseline_at	baseline_value	max_alive	max_at	ceiling	manifest_reason	samples	mean_age_s	stomach_children	dead	still_alive	median_age_at_death_s	quartiles	pool_founders	bred	bred_by_pool_index	rooted_in_pool	of_them_stomachs	by_pool_index	depth_rule	read	no_absorptive_row	no_column	first_row_is_death_row	at_or_over_mean	median_first_J_m3	median_column_mean_J_m3	r47_median_first_J_m3	samples_first_vs_mean	placed	in_top_12m	median_depth_m	median_above_floor_m	median_row_lag_s	l4_breeders	l4_placed	l4_at_or_over_1	note	endowed_founders	endow_median_J	endow_min_J	endow_max_J	share_bred	pool_endowed	pool_endow_median_J	pool_median_age_at_death_s	pool_share_bred	audit_absmax_J	matter_resid_at	matter_resid	diverged	diverged_dump_files	censored	provisional	table_columns	open_columns	dumps	dumps_held_J_m3	dumps_held_J_m2	min_ratio_J_m3	last_at	table_J_m3	open_J_m3	table_J_m2	open_J_m2	as_r47	base_table_J_m3	base_open_J_m3	base_min_ratio_J_m3	base_dumps_held_J_m3	base_last_at	base_dumps	base_as_r47	band	volume_under_m3	volume_beside_m3	samples_fewer_under	ties	under	beside	under_per_m3	beside_per_m3	mean_under_per_m3	mean_beside_per_m3	base_under_per_m3	base_beside_per_m3	base_mean_under_per_m3	base_mean_beside_per_m3	base_samples_fewer_under	base_samples	pace_x_real	source	last_window_pace_x_real
O2b	r48-s2																			True																																					4602	13510	25000	error	1369																																																																																						
S1	r48-s2												r47-s2							False											True						13690																		30000	1890.81						1511.24																																																																																					
S2	r48-s2																			False																																											17	16	1	94.75	58 to 202																																																																																
F1	r48-s2																			False																																												28	1	297.75	225 to 560	29																																																																															
F2	r48-s2															8				True																																																29	8	0:8																																																																													
F3	r48-s2																			False									4581		True						13690																																		1	1	3:1																																																																										
F4	r48-s2																			False		0.206897																																														29						on	29	0	0	0	6	0.247546	0.457075	0.12	7160@3300s:7.8/0.832 8701@4420s:0.248/0.374 9424@4900s:0.281/0.942 9603@5040s:0.0866/0.292 9808@5190s:0.206/0.426 9945@5280s:0.524/0.809 9968@5290s:0.328/0.222 10656@5740s:0.25/0.342	29	24	5.17	42.1058	5	8	8	0	densityHere is what the body was fed at, share-multiplied (a crowded cell reads under its density); the column is the founder's first positions row's; held over the founders read																																																							
E1	r48-s2																			reading																																												402		166																											406	72.3396	2.0958	858.541	0.125616	29	71.6934	297.75	0.275862																																														
B1	r48-s2											error								False											True																																																																							1.89749e-05	13690	-7.16644e-07	0	0	True	False																																							
R1a	r48-s2												r47-s2							reading																																																																								a table column's sum is the snow on the table plus the room under the cap down to the floor; no record isolates the table's top. J/m3 is over the column's water (rock out), J/m2 over its area; held on J/m3																	5479	1089	37	37	17	1.00297	13600	0.56135	0.554786	18.2735	22.2467	True	0.526129	0.468887	0.895623	192	30000	201	False																				
R1b	r48-s2												r47-s2							reading																																									8																																																						13500					True					30000		True	each cap's underside down 10 m (undersides -4.08 to -5.93 m)	50316.4	95578.8	8	0	244	1263	0.00484932	0.0132142	0.004109	0.0126558	0.00681687	0.0147732	0.00553958	0.010863	41	41			
P1	r48-s2											error								True																																																																																							True																																						1.17742	run.json timesRealTime	0.900566
