## V1  the header tokens and the manifest hashes, per seed. 0100 asks for "space tank r=11.28 m (400 m2), depth 60, wall, bed", area 400 m2, matterBudget 6000, fluidAccel 1, current 0.1 m/s transport, dispersal=5 m, driveLimit >0.01, linkPhoto 0.5, addedMass 0.5, dt=0.01, one simHash ecc41ec5, one coreHash 16073c69, one configHash 30637fb0, physicsJobWorkers 0 and a prereg.json at 4cab313.
arm	seed	space	area	matterBudget	current	fluidAccel	dispersal	driveLimit	linkPhoto	addedMass	dt	field	configHash	simHash	coreHash	physicsJobWorkers	gitCommit	gitDirty	prereg file	prereg commit	status	reason	simulated s	worker
r38-s1	1	space tank r=11.28 m (400 m2), depth 60, wall, bed dispersal=5 m	area 400 m2	matterBudget 6000	current 0.1 m/s transport over 6000 s (cell 30 m unread)	fluidAccel 1	dispersal=5 m	driveLimit >0.01	linkPhoto 0.5	addedMass 0.5	dt=0.01	field grid h=1 mh=1.8 merge=0.25 cap=100000 q=0.125 cell=1 mcell=5 corpse=0.005/s	30637fb0fb725f19	ecc41ec5	16073c69	0	4cab313e	False	logbook/0100-a-tank-four-times-as-wide.md	4cab313e	ended	budget	30000	unity-w2
r38-s2	2	space tank r=11.28 m (400 m2), depth 60, wall, bed dispersal=5 m	area 400 m2	matterBudget 6000	current 0.1 m/s transport over 6000 s (cell 30 m unread)	fluidAccel 1	dispersal=5 m	driveLimit >0.01	linkPhoto 0.5	addedMass 0.5	dt=0.01	field grid h=1 mh=1.8 merge=0.25 cap=100000 q=0.125 cell=1 mcell=5 corpse=0.005/s	30637fb0fb725f19	ecc41ec5	16073c69	0	4cab313e	False	logbook/0100-a-tank-four-times-as-wide.md	4cab313e	ended	budget	30000	unity-w3
r38-s3	3	space tank r=11.28 m (400 m2), depth 60, wall, bed dispersal=5 m	area 400 m2	matterBudget 6000	current 0.1 m/s transport over 6000 s (cell 30 m unread)	fluidAccel 1	dispersal=5 m	driveLimit >0.01	linkPhoto 0.5	addedMass 0.5	dt=0.01	field grid h=1 mh=1.8 merge=0.25 cap=100000 q=0.125 cell=1 mcell=5 corpse=0.005/s	30637fb0fb725f19	ecc41ec5	16073c69	0	4f45d0a9	False	logbook/0100-a-tank-four-times-as-wide.md	4cab313e	ended	budget	30000	unity-w5
r38-s4	4	space tank r=11.28 m (400 m2), depth 60, wall, bed dispersal=5 m	area 400 m2	matterBudget 6000	current 0.1 m/s transport over 6000 s (cell 30 m unread)	fluidAccel 1	dispersal=5 m	driveLimit >0.01	linkPhoto 0.5	addedMass 0.5	dt=0.01	field grid h=1 mh=1.8 merge=0.25 cap=100000 q=0.125 cell=1 mcell=5 corpse=0.005/s	30637fb0fb725f19	ecc41ec5	16073c69	0	fcd58f98	False	logbook/0100-a-tank-four-times-as-wide.md	4cab313e	ended	budget	30000	unity-w7
r38-s5	5	space tank r=11.28 m (400 m2), depth 60, wall, bed dispersal=5 m	area 400 m2	matterBudget 6000	current 0.1 m/s transport over 6000 s (cell 30 m unread)	fluidAccel 1	dispersal=5 m	driveLimit >0.01	linkPhoto 0.5	addedMass 0.5	dt=0.01	field grid h=1 mh=1.8 merge=0.25 cap=100000 q=0.125 cell=1 mcell=5 corpse=0.005/s	30637fb0fb725f19	ecc41ec5	16073c69	0	156f1b7d	False	logbook/0100-a-tank-four-times-as-wide.md	4cab313e	ended	budget	30000	unity-w2

## V2 to V5, checked on every row of every seed
arm	rows	audit rows not 0.0000%	mat resid rows not 0	wraps rows not 0	max wraps	diverged at end	dumps on disk	trace files	max |mat orphan|	rows with mat orphan != 0	status
r38-s1	300	0	0	0	0	0	0	0	0.001	60	ended / budget
r38-s2	300	0	0	0	0	0	0	0	0.001	4	ended / budget
r38-s3	300	0	0	0	0	0	0	0	0.002	191	ended / budget
r38-s4	300	0	0	0	0	2	2	2	0	0	ended / budget
r38-s5	300	0	0	0	0	8	8	0	0.001	199	ended / budget
